question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
Why is Norway’s status as an Expanding Circle country described as increasingly fuzzy?,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.","Norway's status as an Expanding Circle country is described as increasingly fuzzy because English has developed into a familiar language for Norwegians, with increased access and domain use, and is no longer limited to traditional foreign language teaching, but is also used in higher education, business, and as a lingua franca.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,5.1728,ok,,0.0,0.33766233766233766,0.33766233766233766,1.0,1.0,1.0,1.0
Which two pre-training tasks are used in BERT?,BERT uses masked language modeling and next sentence prediction.,The two pre-training tasks used in BERT are Masked LM and Next Sentence Prediction.,simple_hybrid_rag,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,0.3866,ok,,0.0,0.5217391304347826,0.5217391304347826,1.0,1.0,1.0,1.0
"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.","The deepest residual network reported has a depth of 152 layers, which is 8 times deeper than VGG nets, yet still has lower complexity.",simple_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",direct_fact_lookup,easy,1.2033,ok,,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
What is Naive RAG according to the survey?,"Naive RAG is the basic retrieve-read framework with three stages: indexing documents into chunks and vectors, retrieving the top relevant chunks for a query, and generating an answer from the query plus the retrieved context.","Naive RAG represents the earliest methodology in the Retrieval-Augmented Generation research paradigm, which follows a traditional process that includes indexing, retrieval, and generation, also characterized as a “Retrieve-Read” framework.",simple_hybrid_rag,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",definition_explanation,medium,0.7165,ok,,0.0,0.28125,0.1875,1.0,1.0,1.0,1.0
What is self-attention in the Transformer paper?,Self-attention is an attention mechanism that relates different positions within the same sequence so the model can build representations using dependencies across positions.,"Self-attention is an attention mechanism relating different positions of a single sequence in order to compute a representation of the sequence, and in the Transformer, it is used in three different ways, including encoder-decoder attention, self-attention layers in the encoder, and self-attention layers in the decoder.",simple_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf""]",definition_explanation,medium,0.7151,ok,,0.0,0.2898550724637681,0.2898550724637681,1.0,0.5,1.0,1.0
Why does TabNet argue that tabular data is difficult for standard deep neural networks?,"TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.","TabNet argues that standard deep neural networks are not well-suited for tabular data because architectures like stacked convolutional layers or multi-layer perceptrons are vastly overparametrized, often causing them to fail to find optimal solutions for tabular decision manifolds.",simple_hybrid_rag,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",definition_explanation,medium,6.8608,ok,,0.0,0.41025641025641024,0.33333333333333337,1.0,1.0,1.0,1.0
How does the grammar translation method differ from the Reform movement in language teaching priorities?,"Grammar translation emphasized abstract grammar rules, vocabulary, and translation. The Reform movement shifted the focus toward listening, speaking, pronunciation, phonetics, and discovering grammar through more coherent language use.","The grammar translation method differs from the Reform movement in language teaching priorities as it focuses on learning abstract grammar rules and vocabulary and translating to and from the target language, whereas the Reform movement shifts the priority from reading and writing to listening and speaking, introducing the science of phonetics.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""English.pdf"", ""BERT.pdf""]",intra_paper_comparison,medium,11.9817,ok,,0.0,0.40506329113924044,0.35443037974683544,1.0,0.5,1.0,1.0
How does BERT compare feature-based transfer approaches with fine-tuning approaches?,"Feature-based approaches use pretrained representations as features inside task-specific architectures, while fine-tuning approaches add minimal new parameters and adapt all pretrained parameters directly on the downstream task. BERT is presented as a fine-tuning based model.","BERT compares feature-based transfer approaches with fine-tuning approaches by applying both methods to the CoNLL-2003 Named Entity Recognition task, demonstrating that BERT is effective for both approaches, with the best performing feature-based method concatenating token representations from the top four hidden layers, only 0.3 F1 behind fine-tuning the entire model.",simple_hybrid_rag,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",intra_paper_comparison,medium,11.0131,ok,,0.0,0.25882352941176473,0.23529411764705882,1.0,1.0,1.0,1.0
How do plain networks differ from residual networks in the ResNet paper’s framing of the optimization problem?,"Plain networks simply stack layers and become harder to optimize as depth increases, while residual networks reformulate learning as fitting a residual function with shortcut connections, making deeper models easier to optimize.","Plain networks differ from residual networks in that the latter have shortcut connections that add the input to the output of a set of stacked layers, allowing for easier optimization and improved accuracy gains from increased depth, whereas plain networks simply stack layers without such connections.",simple_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",intra_paper_comparison,medium,13.953,ok,,0.0,0.358974358974359,0.1794871794871795,1.0,1.0,1.0,1.0
"According to Figure 1 in the Transformer paper, what are the major components of the encoder and decoder?","The encoder uses input embeddings plus positional encoding, multi-head self-attention, add-and-norm, and feed-forward layers. The decoder uses output embeddings shifted right plus positional encoding, masked multi-head self-attention, attention over encoder outputs, add-and-norm, feed-forward layers, and finally a linear layer with softmax.","The Transformer model architecture consists of an encoder with multiple heads of attention and feed forward neural networks, and a decoder with similar composition, where inputs are processed through the encoder and outputs are shifted right before being used as input to the decoder.",simple_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""TabNet.pdf"", ""NeurIPS-2020-retrieval-augmented-generation-for-knowledge-intensive-nlp-tasks-Paper.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf""]",figure_table_diagram_grounded,medium,9.9523,ok,,0.0,0.32941176470588235,0.14117647058823526,1.0,0.3333333333333333,1.0,1.0
"According to Figure 1 in the ResNet paper, what happens to training and test error when moving from a 20-layer plain network to a 56-layer plain network on CIFAR-10?",The deeper 56-layer plain network has higher training error and higher test error than the 20-layer plain network.,The deeper 56-layer plain network has higher training error and thus higher test error compared to the 20-layer plain network on CIFAR-10.,simple_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",figure_table_diagram_grounded,easy,14.3361,ok,,0.0,0.85,0.85,1.0,1.0,1.0,1.0
"According to Figure 2 in the TabNet paper, how does unsupervised pre-training connect to supervised fine-tuning?","The figure shows an encoder-decoder setup used during unsupervised pre-training to reconstruct masked or missing features, and then the pretrained encoder is reused for supervised fine-tuning and decision making.","Unsupervised representation learning by masked self-supervised learning results in an improved encoder model for the supervised learning task, as shown in Figure 2, indicating that unsupervised pre-training connects to supervised fine-tuning by enhancing the encoder model used in the supervised task.",simple_hybrid_rag,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""BERT.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",figure_table_diagram_grounded,medium,9.8725,ok,,0.0,0.37142857142857144,0.2285714285714286,1.0,0.5,1.0,1.0
How does the English paper connect the global status of English with local curriculum and student language practices in Norway?,"The paper links the global spread of English to local Norwegian ELT by arguing that changing worldwide uses of English influence curriculum priorities, beliefs about language, and how Norwegian learners position themselves and use English in practice.","The English paper connects the global status of English with local curriculum and student language practices in Norway by showing how the national curriculum acknowledges the development of English as a global language, while also investigating how Norwegian learners interpret and respond to this development, and what they are doing linguistically with English given the conditions of the Norwegian ELT context.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",multi_chunk_synthesis,hard,9.7881,ok,,0.0,0.44897959183673464,0.32653061224489793,1.0,1.0,1.0,1.0
