episode,step,agent,discrete_action,reward,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,source_focus_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
1,1,retriever,hybrid_rerank,-0.3278,-0.7890415191650391,-0.47676903009414673,-0.22811955213546753,0.34810420870780945,0.10547924041748047,11,0.38594022393226624,0.6740521043539047,,,,,,,,,,,,
1,2,grader,loose_filter,-0.4054,-0.2920994758605957,-0.404814213514328,-0.3872847557067871,,,,,,,,,0.35395026206970215,0.297592893242836,0.30635762214660645,,,,,,
1,3,generator,generate_short_answer,-0.41,0.12873338162899017,-0.17899726331233978,0.13419778645038605,-0.2990419268608093,,,,,,,,,,,0.5643666908144951,0.4105013683438301,636,0.35047903656959534,,
1,4,verifier,verify_answer,-0.417,-0.26210907101631165,-0.2877149283885956,,,,,,,,,,,,,,,,,0.3689454644918442,0.3561425358057022
1,5,verifier,request_more_retrieval,-0.417,-0.33892980217933655,-0.5368208885192871,,,,,,,,,,,,,,,,,0.3305350989103317,0.23158955574035645
1,6,retriever,retrieve_more,-0.3684,-0.41352567076683044,-0.2812257409095764,-0.07683241367340088,0.21791717410087585,0.2932371646165848,13,0.46158379316329956,0.6089585870504379,,,,,,,,,,,,
1,7,grader,loose_filter,-0.7551,-0.3275812566280365,-0.8903820514678955,-0.24047209322452545,,,,,,,,,0.33620937168598175,0.1,0.3797639533877373,,,,,,
1,8,generator,generate_answer,-0.7751,0.47915706038475037,0.16453306376934052,0.17250053584575653,-0.0465681292116642,,,,,,,,,,,0.7395785301923752,0.5822665318846703,653,0.4767159353941679,,
1,9,verifier,verify_answer,-0.0325,-0.5012727975845337,-0.45502063632011414,,,,,,,,,,,,,,,,,0.24936360120773315,0.27248968183994293
2,1,retriever,hybrid_rerank,-0.1502,-0.22606734931468964,-0.7342096567153931,0.1477966159582138,0.6673688888549805,0.3869663253426552,8,0.5738983079791069,0.8336844444274902,,,,,,,,,,,,
2,2,grader,rerank_only,-0.2002,-0.25777536630630493,-0.45414671301841736,-0.7015495896339417,,,,,,,,,0.37111231684684753,0.2729266434907913,0.14922520518302917,,,,,,
2,3,generator,generate_with_strict_citations,-0.2067,0.5106444954872131,0.47870784997940063,0.17095932364463806,0.2508603632450104,,,,,,,,,,,0.7553222477436066,0.7393539249897003,652,0.6254301816225052,,
2,4,verifier,verify_answer,0.7168,-0.5689064264297485,-0.4708496630191803,,,,,,,,,,,,,,,,,0.21554678678512573,0.26457516849040985
3,1,retriever,hybrid_rerank,-0.1531,-0.5371841192245483,-0.9361828565597534,0.08365732431411743,0.5519980788230896,0.23140794038772583,5,0.5418286621570587,0.7759990394115448,,,,,,,,,,,,
3,2,grader,loose_filter,-0.2103,-0.32641932368278503,-0.14043529331684113,-0.4432987868785858,,,,,,,,,0.3367903381586075,0.42978235334157944,0.2783506065607071,,,,,,
3,3,generator,generate_answer,-0.214,0.5719051361083984,0.29792290925979614,-0.06416219472885132,0.33428940176963806,,,,,,,,,,,0.7859525680541992,0.6489614546298981,547,0.667144700884819,,
3,4,verifier,verify_answer,0.4782,-0.4249590337276459,-0.5323201417922974,,,,,,,,,,,,,,,,,0.28752048313617706,0.23383992910385132
4,1,retriever,hybrid_rerank,-0.1739,-0.29745030403137207,-0.6271858215332031,-0.043520670384168625,0.1818862408399582,0.35127484798431396,9,0.4782396648079157,0.5909431204199791,,,,,,,,,,,,
4,2,grader,loose_filter,-0.284,-0.34542202949523926,-0.6502447724342346,-0.4367692768573761,,,,,,,,,0.32728898525238037,0.1748776137828827,0.28161536157131195,,,,,,
4,3,generator,generate_answer,-0.2989,0.182838574051857,0.25609922409057617,0.18261775374412537,0.10631447285413742,,,,,,,,,,,0.5914192870259285,0.6280496120452881,657,0.5531572364270687,,
4,4,verifier,verify_answer,0.6735,-0.5930197238922119,-0.7461074590682983,,,,,,,,,,,,,,,,,0.20349013805389404,0.12694627046585083
5,1,retriever,hybrid_rerank,-0.1327,-0.2816002368927002,-0.4764542579650879,0.14169593155384064,0.41505667567253113,0.3591998815536499,11,0.5708479657769203,0.7075283378362656,,,,,,,,,,,,
5,2,grader,loose_filter,-0.2813,-0.307201087474823,-0.17487429082393646,-0.43878036737442017,,,,,,,,,0.3463994562625885,0.41256285458803177,0.2806098163127899,,,,,,
5,3,generator,generate_with_strict_citations,-0.3307,0.6564313769340515,0.3289634883403778,-0.21847674250602722,0.434436559677124,,,,,,,,,,,0.8282156884670258,0.6644817441701889,478,0.717218279838562,,
5,4,verifier,verify_answer,0.4173,-0.592567503452301,-0.6783215999603271,,,,,,,,,,,,,,,,,0.2037162482738495,0.16083920001983643
6,1,retriever,hybrid_rerank,-0.1297,-0.7156472206115723,-0.6958599090576172,-0.3789185881614685,0.1917637139558792,0.14217638969421387,8,0.31054070591926575,0.5958818569779396,,,,,,,,,,,,
6,2,grader,loose_filter,-0.2349,-0.07288391143083572,-0.17394967377185822,-0.36565884947776794,,,,,,,,,0.46355804428458214,0.4130251631140709,0.31717057526111603,,,,,,
6,3,generator,generate_answer,-0.2888,0.24960586428642273,0.21721382439136505,0.39487484097480774,-0.0002733097644522786,,,,,,,,,,,0.6248029321432114,0.6086069121956825,752,0.49986334511777386,,
6,4,verifier,verify_answer,0.6148,-0.5541818737983704,-0.442154198884964,,,,,,,,,,,,,,,,,0.22290906310081482,0.278922900557518
7,1,retriever,hybrid_rerank,-0.1313,-0.6862488985061646,-0.2503412961959839,-0.3637276291847229,0.2072240561246872,0.15687555074691772,14,0.31813618540763855,0.6036120280623436,,,,,,,,,,,,
7,2,grader,loose_filter,-0.2918,-0.2225741744041443,-0.16864809393882751,-0.35162442922592163,,,,,,,,,0.38871291279792786,0.41567595303058624,0.3241877853870392,,,,,,
7,3,generator,generate_answer,-0.3555,0.5423159599304199,-0.17161501944065094,0.010968941263854504,0.26145514845848083,,,,,,,,,,,0.77115797996521,0.41419249027967453,580,0.6307275742292404,,
7,4,verifier,verify_answer,0.567,-0.06542816013097763,-0.42347002029418945,,,,,,,,,,,,,,,,,0.4672859199345112,0.2882649898529053
8,1,retriever,hybrid_rerank,-0.1368,-0.6139131784439087,-0.3695124089717865,-0.21291926503181458,0.026576926931738853,0.19304341077804565,12,0.3935403674840927,0.5132884634658694,,,,,,,,,,,,
8,2,grader,loose_filter,-0.256,-0.3564697206020355,-0.3047778010368347,-0.28927186131477356,,,,,,,,,0.32176513969898224,0.34761109948158264,0.3553640693426132,,,,,,
8,3,generator,generate_answer,-0.2692,0.35328710079193115,0.11864174902439117,-0.1898791790008545,0.12892702221870422,,,,,,,,,,,0.6766435503959656,0.5593208745121956,490,0.5644635111093521,,
8,4,verifier,verify_answer,-0.2865,-0.5024407505989075,-0.6240736842155457,,,,,,,,,,,,,,,,,0.24877962470054626,0.18796315789222717
8,5,verifier,request_more_retrieval,-0.2865,-0.5353304743766785,-0.6129153370857239,,,,,,,,,,,,,,,,,0.23233476281166077,0.19354233145713806
8,6,retriever,retrieve_more,-0.2379,-0.4445653259754181,-0.499330073595047,0.0229128859937191,0.12119439989328384,0.27771733701229095,11,0.5114564429968596,0.5605971999466419,,,,,,,,,,,,
8,7,grader,medium_filter,-0.599,-0.27613914012908936,-0.569452166557312,0.0072601125575602055,,,,,,,,,0.3619304299354553,0.215273916721344,0.5036300562787801,,,,,,
8,8,generator,generate_answer,-0.6024,0.6024419665336609,0.14988493919372559,-0.3674514591693878,0.26034611463546753,,,,,,,,,,,0.8012209832668304,0.5749424695968628,411,0.6301730573177338,,
8,9,verifier,verify_answer,-0.636,-0.44270655512809753,-0.3968891501426697,,,,,,,,,,,,,,,,,0.27864672243595123,0.30155542492866516
8,10,verifier,request_more_retrieval,-0.636,-0.45908430218696594,-0.4623914361000061,,,,,,,,,,,,,,,,,0.27045784890651703,0.26880428194999695
8,11,retriever,retrieve_more,-0.5879,-0.592621386051178,-0.26631659269332886,0.32173776626586914,0.18842162191867828,0.203689306974411,14,0.6608688831329346,0.5942108109593391,,,,,,,,,,,,
8,12,grader,medium_filter,-1.4878,-0.6584292054176331,-0.4172348380088806,-0.16292975842952728,,,,,,,,,0.17078539729118347,0.2913825809955597,0.41853512078523636,,,,,,
9,1,retriever,hybrid_rerank,-0.1304,-0.6678851842880249,-0.6269157528877258,-0.24187296628952026,0.45033836364746094,0.16605740785598755,9,0.37906351685523987,0.7251691818237305,,,,,,,,,,,,
9,2,grader,loose_filter,-0.271,-0.3161851465702057,-0.030990714207291603,-0.4329969882965088,,,,,,,,,0.34190742671489716,0.4845046428963542,0.2835015058517456,,,,,,
9,3,generator,generate_answer,-0.33,0.3865409791469574,0.15749198198318481,0.15847527980804443,-0.17098329961299896,,,,,,,,,,,0.6932704895734787,0.5787459909915924,646,0.4145083501935005,,
9,4,verifier,verify_answer,0.6077,-0.6619571447372437,-0.6156838536262512,,,,,,,,,,,,,,,,,0.16902142763137817,0.1921580731868744
10,1,retriever,hybrid_rerank,-0.1387,-0.4849308133125305,-0.44608938694000244,-0.27233704924583435,0.25605788826942444,0.25753459334373474,11,0.3638314753770828,0.6280289441347122,,,,,,,,,,,,
10,2,grader,rerank_only,-0.1887,-0.3528575301170349,-0.16072136163711548,-0.6475807428359985,,,,,,,,,0.32357123494148254,0.41963931918144226,0.17620962858200073,,,,,,
10,3,generator,generate_answer,-0.1927,0.40836286544799805,0.04406408220529556,0.32367047667503357,0.16633544862270355,,,,,,,,,,,0.704181432723999,0.5220320411026478,721,0.5831677243113518,,
10,4,verifier,verify_answer,-0.225,-0.548268735408783,-0.6772701740264893,,,,,,,,,,,,,,,,,0.22586563229560852,0.16136491298675537
10,5,verifier,request_more_retrieval,-0.225,-0.5596916079521179,-0.3489428460597992,,,,,,,,,,,,,,,,,0.22015419602394104,0.3255285769701004
10,6,retriever,retrieve_more,-0.1768,-0.38294732570648193,-0.46147191524505615,0.10100586712360382,0.5108475089073181,0.30852633714675903,11,0.5505029335618019,0.7554237544536591,,,,,,,,,,,,
