episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.134772,-0.410132,-0.006659,-0.27329,0.134772,-0.410132,-0.006659,-0.27329,0.567385844886303,9,0.49667039373889565,0.36335521936416626,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.653231,-0.818126,0.081434,,0.653231,-0.818126,0.081434,0.0,,,,,,,0.82661572098732,0.5454685091972351,0.5407171882688999,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.849818,0.570412,0.155586,-0.287898,0.849818,0.570412,0.155586,-0.287898,,,,,,,,,,0.9249089956283569,0.7852059900760651,235,0.3560510277748108,
1,4,verifier,verify_answer,verify_answer,0.5318,1,,-0.809149,,,,-0.809149,0.0,0.0,0.0,,,,,,,,,,,,,,0.0954255759716034
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.049758,-0.0307,-0.33424,-0.810239,0.049758,-0.0307,-0.33424,-0.810239,0.5248788651078939,12,0.33288003504276276,0.09488058090209961,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.433704,-0.782667,-0.379614,,0.433704,-0.782667,-0.379614,0.0,,,,,,,0.7168522477149963,0.5543333739042282,0.31019310653209686,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-0.07,0,verifier,0.435355,0.733517,0.003189,0.001655,0.435355,0.733517,0.003189,0.001655,,,,,,,,,,0.7176772803068161,0.8667585253715515,256,0.5008273556013592,
2,4,verifier,verify_answer,verify_answer,0.5546,1,,-0.844472,,,,-0.844472,0.0,0.0,0.0,,,,,,,,,,,,,,0.07776394486427307
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.16502,-0.24776,-0.307032,-0.515222,-0.16502,-0.24776,-0.307032,-0.515222,0.4174898490309715,10,0.34648390114307404,0.2423889935016632,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.553924,-0.82138,-0.180162,,0.553924,-0.82138,-0.180162,0.0,,,,,,,0.7769617736339569,0.5446550101041794,0.40991900861263275,,,,,
