question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
Why is Norway’s status as an Expanding Circle country described as increasingly fuzzy?,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.","Norway's status as an Expanding Circle country is described as increasingly fuzzy because English has developed over the past decades and is no longer limited to its traditional role as a foreign language, but is now used in various domains such as higher education, business, and as a lingua franca, blurring the lines of its original categorization.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,6.084,ok,,0.0,0.3132530120481927,0.2891566265060241,1.0,1.0,1.0,1.0
Which two pre-training tasks are used in BERT?,BERT uses masked language modeling and next sentence prediction.,The two pre-training tasks used in BERT are Masked LM and Next Sentence Prediction.,simple_hybrid_rag,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,0.5634,ok,,0.0,0.5217391304347826,0.5217391304347826,1.0,1.0,1.0,1.0
"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.","The deepest residual network reported is 152 layers, which is 8 times deeper than VGG nets, yet still has lower complexity.",simple_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",direct_fact_lookup,easy,0.9218,ok,,0.0,0.7619047619047619,0.7619047619047619,1.0,1.0,1.0,1.0
What is Naive RAG according to the survey?,"Naive RAG is the basic retrieve-read framework with three stages: indexing documents into chunks and vectors, retrieving the top relevant chunks for a query, and generating an answer from the query plus the retrieved context.","Naive RAG represents the earliest methodology in Retrieval-Augmented Generation, which follows a traditional process that includes indexing, retrieval, and generation, also characterized as a “Retrieve-Read” framework.",simple_hybrid_rag,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",definition_explanation,medium,0.6135,ok,,0.0,0.26229508196721313,0.19672131147540986,1.0,1.0,1.0,1.0
What is self-attention in the Transformer paper?,Self-attention is an attention mechanism that relates different positions within the same sequence so the model can build representations using dependencies across positions.,"Self-attention is an attention mechanism relating different positions of a single sequence in order to compute a representation of the sequence, and in the Transformer, it is used in three different ways, including encoder-decoder attention, self-attention layers in the encoder, and self-attention layers in the decoder.",simple_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf""]",definition_explanation,medium,1.0281,ok,,0.0,0.2898550724637681,0.2898550724637681,1.0,0.5,1.0,1.0
Why does TabNet argue that tabular data is difficult for standard deep neural networks?,"TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.","TabNet argues that standard deep neural networks are not well-suited for tabular data because they are vastly overparametrized, lacking appropriate inductive bias, which often causes them to fail to find optimal solutions for tabular decision manifolds.",simple_hybrid_rag,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",definition_explanation,medium,6.8123,ok,,0.0,0.5,0.4210526315789474,1.0,1.0,1.0,1.0
How does the grammar translation method differ from the Reform movement in language teaching priorities?,"Grammar translation emphasized abstract grammar rules, vocabulary, and translation. The Reform movement shifted the focus toward listening, speaking, pronunciation, phonetics, and discovering grammar through more coherent language use.","The grammar translation method differs from the Reform movement in language teaching priorities as it focuses on learning abstract grammar rules and vocabulary and translating to and from the target language, whereas the Reform movement shifts the priority from reading and writing to listening and speaking.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""English.pdf"", ""English.pdf""]",intra_paper_comparison,medium,11.9263,ok,,0.0,0.40540540540540543,0.35135135135135126,1.0,0.5,1.0,1.0
How does BERT compare feature-based transfer approaches with fine-tuning approaches?,"Feature-based approaches use pretrained representations as features inside task-specific architectures, while fine-tuning approaches add minimal new parameters and adapt all pretrained parameters directly on the downstream task. BERT is presented as a fine-tuning based model.","BERT compares feature-based transfer approaches with fine-tuning approaches by applying both methods to the CoNLL-2003 Named Entity Recognition task, demonstrating that BERT is effective for both approaches, with the best performing feature-based method concatenating token representations from the top four hidden layers, only 0.3 F1 behind fine-tuning the entire model.",simple_hybrid_rag,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",intra_paper_comparison,medium,10.8557,ok,,0.0,0.25882352941176473,0.23529411764705882,1.0,1.0,1.0,1.0
How do plain networks differ from residual networks in the ResNet paper’s framing of the optimization problem?,"Plain networks simply stack layers and become harder to optimize as depth increases, while residual networks reformulate learning as fitting a residual function with shortcut connections, making deeper models easier to optimize.","Plain networks differ from residual networks in that the latter have shortcut connections that add the input to the output of a set of layers, which helps to ease the optimization problem by providing faster convergence and reducing training error, whereas plain networks do not have this property and can suffer from increased depth, exhibiting higher training error when the depth increases.",simple_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",intra_paper_comparison,medium,15.0502,ok,,0.0,0.2765957446808511,0.14893617021276595,1.0,1.0,1.0,1.0
"According to Figure 1 in the Transformer paper, what are the major components of the encoder and decoder?","The encoder uses input embeddings plus positional encoding, multi-head self-attention, add-and-norm, and feed-forward layers. The decoder uses output embeddings shifted right plus positional encoding, masked multi-head self-attention, attention over encoder outputs, add-and-norm, feed-forward layers, and finally a linear layer with softmax.","The Transformer model architecture consists of an encoder with stacked self-attention and pointwise layers, and a decoder with similar composition, including multi-head attention and feed forward neural networks, as shown in Figure 1.",simple_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""TabNet.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf""]",figure_table_diagram_grounded,medium,9.8318,ok,,0.0,0.2972972972972973,0.24324324324324323,1.0,0.5,1.0,1.0
