question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
What are the four main subject areas of the current Norwegian national English curriculum?,"The four main subject areas are Language learning, Oral communication, Written communication, and Culture, society and literature.","The four main subject areas of the current Norwegian national English curriculum are *Language learning*, *Oral communication*, *Written communication*, and *Culture, society and literature*.",context_marl_ac,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,38.6598,accepted,,0.0,0.8292682926829268,0.8292682926829268,1.0,1.0,1.0,1.0
"How does Kachru's concentric circles model distinguish between the Inner, Outer, and Expanding circles?","The Inner circle refers to native speakers of English as a first language. The Outer circle refers to countries where English became an official second language, often through colonial history. The Expanding circle refers to places where English is mainly used as a foreign or international language.","**Inner Circle**: Native speakers of English who have English as their first language, spread the language through history, often through colonialism, to countries in the outer circle.

**Outer Circle**: Countries where English is an official second language, dominating in certain domains such as education, government, and among higher social classes, with their own models of pronunciation influenced by local languages.

**Expanding Circle**: Countries where English is taught as a foreign language in school, and where English is acknowledged as important for tourism, business, and international communication, traditionally looking to the inner circle for models.",context_marl_ac,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,94.4183,rejected,,0.0,0.5106382978723404,0.39716312056737585,1.0,1.0,1.0,1.0
Why does the English paper argue that what English is depends on context?,"The paper argues that English can refer to different things in different contexts, such as a people, a spoken language, a codified system in grammars and dictionaries, or literature, so its meaning depends on the setting in which it is discussed.","The English paper argues that what English is depends on context because knowledge about language beliefs is particularly important to stakeholders in language education, and these beliefs determine both the object of research and the object to teach and learn. This is further emphasized by the fact that people with conflicting beliefs about language will often have conflicting opinions about which aspects of language are important to teach and learn.",context_marl_ac,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf""]",definition_explanation,medium,66.036,rejected,,0.0,0.27027027027027023,0.19819819819819823,1.0,1.0,1.0,1.0
Why does TabNet argue that tabular data is difficult for standard deep neural networks?,"TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.","TabNet argues that tabular data is difficult for standard deep neural networks because previously-proposed DNN architectures are not well-suited for tabular data: they are vastly overparametrized, and the lack of appropriate inductive bias often causes them to fail to find optimal solutions for tabular decision manifolds.",context_marl_ac,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",definition_explanation,medium,47.3369,accepted,,0.0,0.5116279069767442,0.37209302325581395,1.0,1.0,1.0,1.0
How do the encoder and decoder stacks differ in the Transformer architecture?,"The encoder has repeated layers with self-attention and feed-forward sublayers, while the decoder adds an extra sublayer that attends over the encoder output and also uses masked self-attention so it cannot look ahead to future positions.","The encoder and decoder stacks in the Transformer architecture differ in that the decoder inserts a third sub-layer, which performs multi-head attention over the output of the encoder stack, whereas the encoder has two sub-layers: a multi-head self-attention mechanism and a simple, position-wise fully connected feed-forward network.",context_marl_ac,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""TabNet.pdf"", ""AttentionIsAllYouNeed.pdf""]",intra_paper_comparison,medium,40.9828,accepted,,0.0,0.38554216867469876,0.24096385542168677,1.0,0.5,1.0,1.0
How does BERT's masked language model objective differ from next sentence prediction?,"Masked language modeling predicts masked tokens from context within the input, while next sentence prediction trains the model to decide whether sentence B truly follows sentence A.","BERT's masked language model objective differs from next sentence prediction in that the former involves predicting the original vocabulary id of a randomly masked token, whereas the latter involves predicting whether two input sentences are adjacent in the original text. 

The masked language model objective is described in Section 3.1 Pre-training BERT, where it is mentioned that the model is trained to predict the original vocabulary id of the masked token, as inspired by the Cloze task. 

On the other hand, the next sentence prediction task is described in Section A.1 Illustration of the Pre-training Tasks, where it is shown that the task involves predicting whether two input sentences are adjacent in the original text, with examples provided to illustrate the task.",context_marl_ac,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",intra_paper_comparison,medium,170.4491,rejected,,0.0,0.20134228187919465,0.1342281879194631,1.0,1.0,1.0,1.0
"According to Figure 1 in the ResNet paper, what happens to training and test error when moving from a 20-layer plain network to a 56-layer plain network on CIFAR-10?",The deeper 56-layer plain network has higher training error and higher test error than the 20-layer plain network.,"When moving from a 20-layer plain network to a 56-layer plain network on CIFAR-10, the deeper network has higher training error, and thus test error.",context_marl_ac,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",figure_table_diagram_grounded,easy,29.3347,accepted,,0.0,0.6976744186046512,0.46511627906976744,1.0,1.0,1.0,1.0
"According to Figure 2 in the ResNet paper, what role does the identity shortcut play in the residual block?","The identity shortcut carries the input directly forward and adds it to the learned residual branch, so the block outputs F(x) + x.","The identity shortcut in the residual block plays the role of performing the operation $\mathcal{F} + \mathbf{x}$ by introducing element-wise addition, where $\mathcal{F}$ represents the residual mapping to be learned.",context_marl_ac,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",figure_table_diagram_grounded,medium,81.0413,rejected,,0.0,0.39215686274509803,0.23529411764705882,1.0,1.0,1.0,1.0
"According to Figure 2 in the TabNet paper, how does unsupervised pre-training connect to supervised fine-tuning?","The figure shows an encoder-decoder setup used during unsupervised pre-training to reconstruct masked or missing features, and then the pretrained encoder is reused for supervised fine-tuning and decision making.","Unsupervised pre-training connects to supervised fine-tuning through the TabNet encoder, which is used in both processes.",context_marl_ac,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",figure_table_diagram_grounded,medium,51.7978,rejected,,0.0,0.4,0.26666666666666666,1.0,1.0,1.0,1.0
How does the English paper connect the global status of English with local curriculum and student language practices in Norway?,"The paper links the global spread of English to local Norwegian ELT by arguing that changing worldwide uses of English influence curriculum priorities, beliefs about language, and how Norwegian learners position themselves and use English in practice.","The English paper connects the global status of English with local curriculum and student language practices in Norway by showing how the national curriculum acknowledges the development of English as a global language, but does not pay attention to Norwegians' reactions to this development, and how Norwegian learners interpret and respond to the global and local status of English in their language practices. 

The paper suggests that the global status of English is reciprocally related to local beliefs about language among educational authorities, teachers, and students, and that these have major implications for English as a discipline in lower and higher education. 

In the national curriculum, English is presented as a necessary skill in the Norwegian society, and students are expected to be able to use the English language and have knowledge of how it is used in different contexts. However, the paper also notes that there is a delay in the application of social constructionist perspectives in the English subject, and that educators seem to have difficulties ridding themselves of the idea of English as nationally defined.

The study presented in the paper attempts to access how Norwegian learners interpret and respond to the development of the global and local status of English, and what they are doing linguistically with English given the conditions of the Norwegian ELT context. The study takes as point of departure the social meaning of language forms, as in studies of language variation using a stylistic practice approach, and is thus largely influenced by social constructionist perspectives.",context_marl_ac,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",multi_chunk_synthesis,hard,164.9542,rejected,,0.0,0.19310344827586204,0.15172413793103448,1.0,1.0,1.0,1.0
