episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.405679,-0.25832,0.654575,-0.163553,-0.405679,-0.25832,0.654575,-0.163553,0.29716072976589203,10,0.8272875249385834,0.41822365671396255,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,-0.031141,-0.005086,0.456534,,-0.031141,-0.005086,0.456534,0.0,,,,,,,0.4844295345246792,0.8492370452964678,0.7282669693231583,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.007197,0.107148,-0.023195,0.02894,-0.007197,0.107148,-0.023195,0.02894,,,,,,,,,,0.4964016075246036,0.5535737872123718,256,0.5144700538367033,
1,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,0.323828,,,,0.323828,0.0,0.0,0.0,,,,,,,,,,,,,,0.6619137525558472
1,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_regeneration,-0.07,0,generator,0.492643,,,,0.492643,0.0,0.0,0.0,,,,,,,,,,,,,,0.7463213801383972
1,6,generator,generate_answer|generate_with_strict_citations|generate_short_answer|regenerate,generate_short_answer,-0.07,0,verifier,-0.191364,-0.260035,-0.075302,-0.150216,-0.191364,-0.260035,-0.075302,-0.150216,,,,,,,,,,0.4043179452419281,0.3699827045202255,227,0.42489200830459595,
1,7,verifier,verify_answer,verify_answer,-0.07,0,verifier,0.42445,,,,0.42445,0.0,0.0,0.0,,,,,,,,,,,,,,0.7122247666120529
1,8,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_regeneration,-0.07,0,generator,0.344105,,,,0.344105,0.0,0.0,0.0,,,,,,,,,,,,,,0.6720525622367859
1,9,generator,generate_answer|generate_with_strict_citations|generate_short_answer|regenerate,generate_short_answer,-0.07,0,verifier,-0.325135,-0.065,-0.056429,-0.086278,-0.325135,-0.065,-0.056429,-0.086278,,,,,,,,,,0.3374324142932892,0.4674999602138996,237,0.45686106383800507,
1,10,verifier,verify_answer,verify_answer,0.46,1,,0.004431,,,,0.004431,0.0,0.0,0.0,,,,,,,,,,,,,,0.5022152785677463
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.521645,-0.0289,0.23347,-0.38898,-0.521645,-0.0289,0.23347,-0.38898,0.2391776740550995,12,0.6167348250746727,0.3055102229118347,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.07003,-0.122029,0.216301,,0.07003,-0.122029,0.216301,0.0,,,,,,,0.5350151136517525,0.8316956087946892,0.6081505939364433,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.195252,0.121564,-0.289623,0.209451,0.195252,0.121564,-0.289623,0.209451,,,,,,,,,,0.5976262241601944,0.5607818104326725,240,0.6047254949808121,
2,4,verifier,verify_answer,verify_answer,0.6185,1,,0.247531,,,,0.247531,0.0,0.0,0.0,,,,,,,,,,,,,,0.6237654015421867
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.468913,-0.463089,0.299169,-0.431535,-0.468913,-0.463089,0.299169,-0.431535,0.2655433863401413,9,0.6495842933654785,0.28423239290714264,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.05165,0.182429,0.140794,,0.05165,0.182429,0.140794,0.0,,,,,,,0.5258251577615738,0.8773644015192985,0.5703969225287437,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.026299,-0.038724,-0.31613,0.071267,0.026299,-0.038724,-0.31613,0.071267,,,,,,,,,,0.5131495147943497,0.48063780553638935,222,0.5356336049735546,
3,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,0.598832,,,,0.598832,0.0,0.0,0.0,,,,,,,,,,,,,,0.7994157671928406
3,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_regeneration,-0.07,0,generator,0.757254,,,,0.757254,0.0,0.0,0.0,,,,,,,,,,,,,,0.8786270320415497
3,6,generator,generate_answer|generate_with_strict_citations|generate_short_answer|regenerate,generate_short_answer,-0.07,0,verifier,-0.170714,-0.09951,-0.28302,-0.06923,-0.170714,-0.09951,-0.28302,-0.06923,,,,,,,,,,0.41464313864707947,0.450244776904583,211,0.4653850309550762,
3,7,verifier,verify_answer,verify_answer,-0.07,0,verifier,0.673923,,,,0.673923,0.0,0.0,0.0,,,,,,,,,,,,,,0.8369613289833069
3,8,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_regeneration,-0.07,0,generator,0.926861,,,,0.926861,0.0,0.0,0.0,,,,,,,,,,,,,,0.9634304642677307
3,9,generator,generate_answer|generate_with_strict_citations|generate_short_answer|regenerate,generate_short_answer,-0.07,0,verifier,0.02666,-0.272107,-0.264254,0.007542,0.02666,-0.272107,-0.264254,0.007542,,,,,,,,,,0.5133299808949232,0.3639463931322098,222,0.5037708173040301,
3,10,verifier,verify_answer,verify_answer,0.2528,1,,0.803989,,,,0.803989,0.0,0.0,0.0,,,,,,,,,,,,,,0.9019943475723267
4,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.506647,-0.304897,0.42588,-0.531927,-0.506647,-0.304897,0.42588,-0.531927,0.2466764748096466,10,0.7129402458667755,0.23403656482696533,,,,,,,,,,
4,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.151713,0.174609,0.197401,,0.151713,0.174609,0.197401,0.0,,,,,,,0.5758564546704292,0.8761913530528544,0.5987006053328514,,,,,
