question_id,step,agent,action,policy,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,system,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
Q001,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.437765,-0.034425,0.070739,0.621055,0.28111764788627625,17,0.5353695712983608,0.8105276226997375,maddpg_no_ceb,,,,,,,,,
Q001,2,grader,strict_filter,maddpg_no_ceb,0.522579,-0.395954,0.579791,,,,,,maddpg_no_ceb,0.7612892687320709,0.30202317237854004,0.7898952960968018,,,,,,
Q001,3,generator,generate_answer,maddpg_no_ceb,-0.185552,-0.053547,0.235041,-0.059483,,,,,maddpg_no_ceb,,,,0.40722399950027466,0.4732266217470169,681,0.470258716493845,,
Q001,4,verifier,verify_answer,maddpg_no_ceb,0.518402,0.498145,,,,,,,maddpg_no_ceb,,,,,,,,0.7592010498046875,0.7490726560354233
Q002,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.556454,0.039519,0.369659,0.534454,0.2217731773853302,17,0.684829443693161,0.7672272026538849,maddpg_no_ceb,,,,,,,,,
Q002,2,grader,strict_filter,maddpg_no_ceb,0.421343,-0.550135,0.666017,,,,,,maddpg_no_ceb,0.7106714993715286,0.22493258118629456,0.8330086767673492,,,,,,
Q002,3,generator,generate_answer,maddpg_no_ceb,-0.223319,-0.043644,0.300603,-0.178857,,,,,maddpg_no_ceb,,,,0.3883402794599533,0.4781778771430254,710,0.4105714038014412,,
Q002,4,verifier,verify_answer,maddpg_no_ceb,0.59579,0.493026,,,,,,,maddpg_no_ceb,,,,,,,,0.7978949844837189,0.7465129643678665
Q003,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.52635,-0.023914,0.206125,0.595708,0.23682522773742676,17,0.6030623391270638,0.7978542149066925,maddpg_no_ceb,,,,,,,,,
Q003,2,grader,strict_filter,maddpg_no_ceb,0.561377,-0.491832,0.617736,,,,,,maddpg_no_ceb,0.7806885242462158,0.2540837824344635,0.8088679313659668,,,,,,
Q003,3,generator,generate_answer,maddpg_no_ceb,-0.206097,-0.007362,0.293344,-0.108043,,,,,maddpg_no_ceb,,,,0.3969515413045883,0.49631916685029864,707,0.44597867503762245,,
Q003,4,verifier,verify_answer,maddpg_no_ceb,0.51274,0.540908,,,,,,,maddpg_no_ceb,,,,,,,,0.7563698291778564,0.7704537510871887
