episode_id,question_id,query_type,total_reward,answer_quality,citation_support_rate,verification_pass,final_status,num_steps,num_llm_calls,latency_seconds,token_usage,has_gen,ans_len,ev_count,ver_dec
episode_0001_Q038,Q038,multi_hop,-2.0064,1.0,1.0,True,accepted,10,6,58.5464,9721,True,331,3,PASS
episode_0002_Q031,Q031,multi_hop,0.3669,1.0,1.0,True,accepted,4,3,24.4743,3604,True,282,3,PASS
episode_0003_Q017,Q017,comparison,0.3879,1.0,1.0,True,accepted,4,3,22.0315,3679,True,336,3,PASS
episode_0004_Q029,Q029,multi_hop,0.3484,1.0,1.0,True,accepted,4,3,25.9701,4296,True,558,3,PASS
episode_0005_Q025,Q025,conceptual,0.1635,1.0,1.0,True,accepted,4,2,53.7983,4394,True,502,8,PASS
episode_0006_Q001,Q001,factual,0.1226,1.0,1.0,True,accepted,4,2,50.7871,4366,True,514,8,PASS
episode_0007_Q019,Q019,section_specific,0.0978,1.0,1.0,True,accepted,4,2,54.7821,4084,True,228,8,PASS
episode_0008_Q015,Q015,conceptual,-3.7731,0.0,0.0,False,timeout,12,6,72.1586,8156,False,0,16,N/A
episode_0009_Q026,Q026,conceptual,0.3583,1.0,1.0,True,accepted,4,3,23.533,4033,True,345,3,PASS
episode_0010_Q001,Q001,factual,0.3103,1.0,1.0,True,accepted,4,3,22.8566,3689,True,74,3,PASS
episode_0011_Q018,Q018,section_specific,0.1269,1.0,1.0,True,accepted,4,2,41.7072,3326,True,223,8,PASS
episode_0012_Q010,Q010,definition,0.3487,1.0,1.0,True,accepted,4,3,25.4084,4006,True,186,3,PASS
episode_0013_Q025,Q025,conceptual,0.157,1.0,1.0,True,accepted,4,2,53.1827,4294,True,450,8,PASS
episode_0014_Q036,Q036,factual,0.1857,1.0,1.0,True,accepted,4,2,46.1952,4182,True,362,8,PASS
episode_0015_Q017,Q017,comparison,0.091,1.0,1.0,True,accepted,4,2,57.9188,4636,True,1252,8,PASS
episode_0016_Q013,Q013,conceptual,0.2968,1.0,1.0,True,accepted,4,3,26.44,3120,True,178,3,PASS
episode_0017_Q019,Q019,section_specific,0.346,1.0,1.0,True,accepted,4,3,20.2648,3175,True,187,3,PASS
episode_0018_Q037,Q037,multi_hop,0.2156,1.0,1.0,True,accepted,4,3,20.818,3635,True,183,3,PASS
episode_0019_Q030,Q030,factual,0.353,1.0,1.0,True,accepted,4,3,22.8829,3503,True,179,3,PASS
episode_0020_Q026,Q026,conceptual,0.2736,1.0,1.0,True,accepted,4,2,43.2078,4274,True,647,8,PASS
episode_0021_Q007,Q007,conceptual,0.3732,1.0,1.0,True,accepted,4,3,21.2402,3208,True,107,3,PASS
episode_0022_Q015,Q015,conceptual,-3.8112,0.0,0.0,False,timeout,12,7,71.6192,8199,False,0,0,N/A
episode_0023_Q030,Q030,factual,0.3641,1.0,1.0,True,accepted,4,3,24.6431,3503,True,179,3,PASS
episode_0024_Q005,Q005,definition,0.2159,1.0,1.0,True,accepted,4,2,39.7641,2858,True,76,8,PASS
episode_0025_Q026,Q026,conceptual,0.2608,1.0,1.0,True,accepted,4,2,43.0214,4274,True,647,8,PASS
episode_0026_Q026,Q026,conceptual,0.3789,1.0,1.0,True,accepted,4,3,24.711,4033,True,345,3,PASS
episode_0027_Q034,Q034,comparison,-4.7631,0.0,0.0,False,timeout,12,7,78.8095,8417,False,0,0,N/A
episode_0028_Q033,Q033,multi_hop,0.3372,1.0,1.0,True,accepted,4,3,22.925,3616,True,406,3,PASS
episode_0029_Q033,Q033,multi_hop,0.1165,1.0,1.0,True,accepted,4,2,47.5097,4178,True,412,8,PASS
episode_0030_Q028,Q028,conceptual,0.3442,1.0,1.0,True,accepted,4,3,21.4747,3011,True,174,3,PASS
episode_0031_Q029,Q029,multi_hop,0.0066,1.0,1.0,True,accepted,4,2,60.0701,5168,True,549,8,PASS
episode_0032_Q034,Q034,comparison,-0.9465,1.0,1.0,True,accepted,9,6,42.7567,9442,True,247,3,PASS
episode_0033_Q003,Q003,conceptual,-1.2918,1.0,1.0,True,accepted,10,6,66.3874,7393,True,279,8,PASS
episode_0034_Q032,Q032,multi_hop,-7.6016,0.0,0.0,False,rejected,12,6,253.2325,20604,True,1186,16,FAIL
episode_0035_Q015,Q015,conceptual,0.3287,1.0,1.0,True,accepted,4,3,23.4858,3841,True,483,3,PASS
episode_0036_Q018,Q018,section_specific,-2.054,0.0,0.0,False,rejected,10,7,61.902,5219,True,72,3,FAIL
episode_0037_Q017,Q017,comparison,0.3969,1.0,1.0,True,accepted,4,3,20.1688,3679,True,336,3,PASS
episode_0038_Q010,Q010,definition,0.3233,1.0,1.0,True,accepted,4,3,29.7192,4006,True,186,3,PASS
