episode,step,agent,discrete_action,reward,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,source_focus_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
1,1,retriever,hybrid_rerank,-0.02,0.035818807780742645,-0.17687448859214783,-0.4846835136413574,-0.1067574992775917,0.5179094038903713,15,0.2576582431793213,0.44662125036120415,,,,,,,,,,,,
1,2,grader,loose_filter,-0.07,0.5732303261756897,-0.016074994578957558,-0.41234028339385986,,,,,,,,,0.7866151630878448,0.4919625027105212,0.29382985830307007,,,,,,
1,3,generator,generate_short_answer,-0.07,0.4530724883079529,0.17218244075775146,0.42927950620651245,-0.4224706292152405,,,,,,,,,,,0.7265362441539764,0.5860912203788757,768,0.28876468539237976,,
1,4,verifier,verify_answer,-0.07,0.6575440168380737,-0.059204522520303726,,,,,,,,,,,,,,,,,0.8287720084190369,0.47039773873984814
1,5,verifier,request_rewrite,-0.07,0.6169679164886475,-0.07277724891901016,,,,,,,,,,,,,,,,,0.8084839582443237,0.4636113755404949
1,6,rewriter,multi_query_rewrite,-0.07,0.4592548608779907,-0.22518467903137207,0.42447027564048767,,,,,,0.7296274304389954,0.38740766048431396,0.7122351378202438,,,,,,,,,
1,7,retriever,hybrid_rerank,-0.02,-0.012174285016953945,0.18253777921199799,-0.6432299613952637,-0.15193691849708557,0.493912857491523,19,0.17838501930236816,0.4240315407514572,,,,,,,,,,,,
1,8,grader,medium_filter,-0.07,0.005957466084510088,0.10804460942745209,0.06292890012264252,,,,,,,,,0.502978733042255,0.554022304713726,0.5314644500613213,,,,,,
1,9,generator,generate_short_answer,-0.07,0.6734820008277893,0.1186913475394249,0.42462506890296936,-0.32644420862197876,,,,,,,,,,,0.8367410004138947,0.5593456737697124,766,0.3367778956890106,,
1,10,verifier,verify_answer,-0.07,0.37573161721229553,-0.43529263138771057,,,,,,,,,,,,,,,,,0.6878658086061478,0.2823536843061447
1,11,verifier,request_rewrite,-0.07,0.5884188413619995,-0.256700336933136,,,,,,,,,,,,,,,,,0.7942094206809998,0.371649831533432
1,12,rewriter,multi_query_rewrite,-0.7843,0.41374027729034424,-0.07825327664613724,0.7331447005271912,,,,,,0.7068701386451721,0.4608733616769314,0.8665723502635956,,,,,,,,,
2,1,retriever,hybrid_rerank,-0.02,-0.29498302936553955,-0.2489819973707199,-0.32993948459625244,-0.16598396003246307,0.3525084853172302,14,0.3350302577018738,0.41700801998376846,,,,,,,,,,,,
2,2,grader,loose_filter,-0.07,0.260069340467453,-0.0008944220608100295,-0.489814817905426,,,,,,,,,0.6300346702337265,0.499552788969595,0.255092591047287,,,,,,
2,3,generator,generate_short_answer,-0.07,0.4498855471611023,-0.07495850324630737,0.2884393036365509,-0.4509793221950531,,,,,,,,,,,0.7249427735805511,0.4625207483768463,705,0.27451033890247345,,
2,4,verifier,verify_answer,0.7334,0.8512517809867859,0.010667743161320686,,,,,,,,,,,,,,,,,0.9256258904933929,0.5053338715806603
3,1,retriever,hybrid_rerank,-0.02,-0.5084602236747742,0.0970076397061348,-0.3429449498653412,-0.05816799774765968,0.24576988816261292,18,0.3285275250673294,0.47091600112617016,,,,,,,,,,,,
3,2,grader,loose_filter,-0.07,0.4845673441886902,-0.08164767920970917,-0.4236348867416382,,,,,,,,,0.7422836720943451,0.4591761603951454,0.2881825566291809,,,,,,
3,3,generator,generate_short_answer,-0.07,0.4312680959701538,0.24935518205165863,0.34057438373565674,-0.36251741647720337,,,,,,,,,,,0.7156340479850769,0.6246775910258293,728,0.3187412917613983,,
3,4,verifier,verify_answer,0.754,0.6361874341964722,-0.2018856406211853,,,,,,,,,,,,,,,,,0.8180937170982361,0.39905717968940735
4,1,retriever,hybrid_rerank,-0.02,0.03715955838561058,-0.2839445471763611,-0.45641013979911804,-0.1379251629114151,0.5185797791928053,13,0.271794930100441,0.43103741854429245,,,,,,,,,,,,
4,2,grader,loose_filter,-0.07,0.37745049595832825,0.036660898476839066,-0.40209290385246277,,,,,,,,,0.6887252479791641,0.5183304492384195,0.2989535480737686,,,,,,
4,3,generator,generate_short_answer,-0.07,0.21240578591823578,-0.17272169888019562,0.12683293223381042,-0.416944295167923,,,,,,,,,,,0.6062028929591179,0.4136391505599022,632,0.2915278524160385,,
4,4,verifier,verify_answer,0.8237,0.6832609176635742,-0.269709050655365,,,,,,,,,,,,,,,,,0.8416304588317871,0.3651454746723175
5,1,retriever,hybrid_rerank,-0.02,0.4363280236721039,0.27705955505371094,-0.30451762676239014,-0.14213232696056366,0.7181640118360519,20,0.34774118661880493,0.42893383651971817,,,,,,,,,,,,
5,2,grader,medium_filter,-0.07,0.2908986210823059,-0.12960033118724823,-0.09753215312957764,,,,,,,,,0.645449310541153,0.4351998344063759,0.4512339234352112,,,,,,
5,3,generator,generate_short_answer,-0.07,0.5843857526779175,-0.5301306843757629,0.12589314579963684,-0.42548927664756775,,,,,,,,,,,0.7921928763389587,0.23493465781211853,632,0.2872553616762161,,
5,4,verifier,verify_answer,0.7808,0.5925219655036926,0.2797341048717499,,,,,,,,,,,,,,,,,0.7962609827518463,0.6398670524358749
6,1,retriever,hybrid_rerank,-0.02,-0.01872173324227333,-0.3724154829978943,-0.16695579886436462,-0.0145774707198143,0.49063913337886333,12,0.4165221005678177,0.49271126464009285,,,,,,,,,,,,
6,2,grader,loose_filter,-0.07,0.24268516898155212,0.2204444706439972,-0.3828306496143341,,,,,,,,,0.6213425844907761,0.6102222353219986,0.30858467519283295,,,,,,
6,3,generator,generate_short_answer,-0.07,0.12453144043684006,0.1766853928565979,0.1981813609600067,-0.36894065141677856,,,,,,,,,,,0.56226572021842,0.588342696428299,664,0.3155296742916107,,
6,4,verifier,verify_answer,-0.07,0.5665889382362366,-0.07023310661315918,,,,,,,,,,,,,,,,,0.7832944691181183,0.4648834466934204
6,5,verifier,request_rewrite,-0.07,0.9181886911392212,-0.03889315575361252,,,,,,,,,,,,,,,,,0.9590943455696106,0.48055342212319374
6,6,rewriter,keyword_rewrite,-0.07,0.3115215599536896,-0.1354994773864746,-0.10066714882850647,,,,,,0.6557607799768448,0.4322502613067627,0.44966642558574677,,,,,,,,,
6,7,retriever,hybrid_rerank,-0.02,0.09004422277212143,-0.19833368062973022,-0.36522844433784485,-0.477324903011322,0.5450221113860607,15,0.3173857778310776,0.261337548494339,,,,,,,,,,,,
6,8,grader,medium_filter,-0.07,0.36635151505470276,0.3477529287338257,-0.07505565881729126,,,,,,,,,0.6831757575273514,0.6738764643669128,0.46247217059135437,,,,,,
6,9,generator,generate_short_answer,-0.07,0.7058703899383545,0.14780071377754211,0.07878013700246811,-0.2948853373527527,,,,,,,,,,,0.8529351949691772,0.5739003568887711,611,0.35255733132362366,,
6,10,verifier,verify_answer,0.6416,0.7356072664260864,-0.39726823568344116,,,,,,,,,,,,,,,,,0.8678036332130432,0.3013658821582794
7,1,retriever,hybrid_rerank,-0.02,-0.14472602307796478,0.5833796858787537,-0.002088382374495268,-0.15660543739795685,0.4276369884610176,24,0.49895580881275237,0.4216972813010216,,,,,,,,,,,,
7,2,grader,rerank_only,-0.07,0.5489510297775269,0.0040254066698253155,-0.715984046459198,,,,,,,,,0.7744755148887634,0.5020127033349127,0.142007976770401,,,,,,
7,3,generator,generate_short_answer,-0.07,0.19017626345157623,-0.06358259916305542,0.41052982211112976,-0.3861742913722992,,,,,,,,,,,0.5950881317257881,0.4682087004184723,759,0.3069128543138504,,
7,4,verifier,verify_answer,0.6602,1.0,-0.01688985712826252,,,,,,,,,,,,,,,,,1.0,0.49155507143586874
8,1,retriever,hybrid_rerank,-0.02,-0.48444026708602905,-0.1692461520433426,-0.2785382866859436,0.23883986473083496,0.2577798664569855,15,0.3607308566570282,0.6194199323654175,,,,,,,,,,,,
8,2,grader,loose_filter,-0.07,0.6921846866607666,0.04430093616247177,-0.3297782242298126,,,,,,,,,0.8460923433303833,0.5221504680812359,0.3351108878850937,,,,,,
8,3,generator,generate_answer,-0.07,0.08370159566402435,0.04255908355116844,0.30677565932273865,-0.1783120483160019,,,,,,,,,,,0.5418507978320122,0.5212795417755842,713,0.41084397584199905,,
8,4,verifier,verify_answer,0.7277,0.6152238249778748,-0.09319514781236649,,,,,,,,,,,,,,,,,0.8076119124889374,0.45340242609381676
9,1,retriever,hybrid_rerank,-0.02,-0.24221131205558777,0.2621675431728363,-0.3182115852832794,0.08833794295787811,0.3788943439722061,20,0.3408942073583603,0.5441689714789391,,,,,,,,,,,,
9,2,grader,loose_filter,-0.07,0.5148627161979675,0.2350464016199112,-0.5380518436431885,,,,,,,,,0.7574313580989838,0.6175232008099556,0.23097407817840576,,,,,,
9,3,generator,generate_answer,-0.07,-0.0431930236518383,0.019204746931791306,0.4778113067150116,0.046516284346580505,,,,,,,,,,,0.47840348817408085,0.5096023734658957,790,0.5232581421732903,,
