episode,step,agent,discrete_action,reward,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,source_focus_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
1,1,retriever,hybrid_rerank,-0.05,0.676865,-0.390739,0.640599,-0.185768,0.8384326994419098,12,0.8202993273735046,0.40711580216884613,,,,,,,,,,,,
1,2,grader,strict_filter,-0.1,0.16799,0.727126,0.626036,,,,,,,,,0.5839951857924461,0.8635632395744324,0.8130182325839996,,,,,,
1,3,generator,generate_short_answer,-0.1,-0.409253,0.041019,0.216419,-0.719213,,,,,,,,,,,0.2953735888004303,0.5205095298588276,672,0.14039361476898193,,
1,4,verifier,verify_answer,0.605,0.872164,0.350253,,,,,,,,,,,,,,,,,0.9360821545124054,0.6751264929771423
2,1,retriever,hybrid_rerank,-0.05,0.325594,-0.5903,0.656036,-0.160616,0.6627968549728394,10,0.8280180394649506,0.4196920469403267,,,,,,,,,,,,
2,2,grader,strict_filter,-0.1,0.484713,0.025007,0.547975,,,,,,,,,0.7423563748598099,0.5125034349039197,0.7739874124526978,,,,,,
2,3,generator,generate_short_answer,-0.1,-0.719843,-0.151296,-0.145379,-0.481464,,,,,,,,,,,0.1400783658027649,0.4243520647287369,510,0.2592679113149643,,
2,4,verifier,verify_answer,0.78,0.665537,0.377215,,,,,,,,,,,,,,,,,0.8327686190605164,0.6886076778173447
3,1,retriever,hybrid_rerank,-0.05,0.284226,-0.511144,0.818279,-0.552667,0.6421129405498505,11,0.9091395437717438,0.22366631031036377,,,,,,,,,,,,
3,2,grader,medium_filter,-0.1,0.110602,0.183578,0.360959,,,,,,,,,0.5553009808063507,0.5917892456054688,0.6804793477058411,,,,,,
3,3,generator,generate_short_answer,-0.1,-0.580896,-0.069186,0.084879,-0.541582,,,,,,,,,,,0.20955193042755127,0.4654068648815155,614,0.2292090654373169,,
3,4,verifier,verify_answer,0.755,0.562596,0.18164,,,,,,,,,,,,,,,,,0.7812981009483337,0.5908198580145836
4,1,retriever,hybrid_rerank,-0.05,0.260807,-0.710696,0.824213,-0.510532,0.6304035484790802,8,0.9121063351631165,0.24473387002944946,,,,,,,,,,,,
4,2,grader,strict_filter,-0.1,0.058777,0.066108,0.592676,,,,,,,,,0.5293886289000511,0.5330541133880615,0.7963379323482513,,,,,,
4,3,generator,generate_short_answer,-0.1,-0.683517,0.018246,-0.27766,-0.579682,,,,,,,,,,,0.1582416594028473,0.5091230859979987,451,0.21015918254852295,,
4,4,verifier,verify_answer,0.755,0.773782,0.539854,,,,,,,,,,,,,,,,,0.8868908584117889,0.7699269652366638
5,1,retriever,hybrid_rerank,-0.05,0.515235,-0.368701,0.61194,-0.397888,0.757617712020874,12,0.8059700727462769,0.3010561019182205,,,,,,,,,,,,
5,2,grader,strict_filter,-0.1,0.214063,0.240578,0.529696,,,,,,,,,0.6070312932133675,0.6202891394495964,0.7648478746414185,,,,,,
5,3,generator,generate_short_answer,-0.1,-0.743222,0.053025,-0.097413,-0.706266,,,,,,,,,,,0.1283891797065735,0.5265126470476389,532,0.1468667984008789,,
5,4,verifier,verify_answer,0.605,0.606697,0.076156,,,,,,,,,,,,,,,,,0.8033486902713776,0.5380781590938568
6,1,retriever,hybrid_rerank,-0.05,0.279611,-0.388046,0.896659,-0.52623,0.6398057043552399,12,0.9483293890953064,0.23688477277755737,,,,,,,,,,,,
6,2,grader,strict_filter,-0.1,0.152894,0.143758,0.727127,,,,,,,,,0.5764472037553787,0.5718789100646973,0.8635633289813995,,,,,,
6,3,generator,generate_short_answer,-0.1,-0.825299,0.048031,-0.401977,-0.784496,,,,,,,,,,,0.08735033869743347,0.5240157246589661,395,0.10775181651115417,,
6,4,verifier,verify_answer,0.765,0.516943,0.21332,,,,,,,,,,,,,,,,,0.7584713697433472,0.6066602170467377
7,1,retriever,hybrid_rerank,-0.05,0.225245,-0.642736,0.726103,-0.747653,0.6126224100589752,9,0.8630514144897461,0.126173734664917,,,,,,,,,,,,
7,2,grader,medium_filter,-0.1,0.425807,-0.073772,0.339125,,,,,,,,,0.7129032909870148,0.4631142020225525,0.6695626825094223,,,,,,
7,3,generator,generate_short_answer,-0.1,-0.612081,0.017205,-0.546632,-0.682753,,,,,,,,,,,0.19395971298217773,0.5086023192852736,331,0.15862366557121277,,
7,4,verifier,verify_answer,0.605,0.654564,0.454652,,,,,,,,,,,,,,,,,0.8272821307182312,0.7273257821798325
8,1,retriever,hybrid_rerank,-0.05,0.432274,-0.323681,0.704523,-0.382515,0.7161368131637573,13,0.8522616326808929,0.3087425231933594,,,,,,,,,,,,
8,2,grader,medium_filter,-0.1,0.319879,0.579839,0.339638,,,,,,,,,0.6599396914243698,0.7899192869663239,0.6698187738656998,,,,,,
8,3,generator,generate_short_answer,-0.1,-0.358721,-0.149636,-0.105886,-0.462752,,,,,,,,,,,0.3206396549940109,0.42518220096826553,528,0.2686241567134857,,
8,4,verifier,verify_answer,0.605,0.959616,0.056116,,,,,,,,,,,,,,,,,0.9798080921173096,0.5280580688267946
9,1,retriever,hybrid_rerank,-0.05,0.43364,-0.671301,0.846921,-0.127025,0.716820240020752,9,0.9234606623649597,0.4364874139428139,,,,,,,,,,,,
9,2,grader,strict_filter,-0.1,0.422645,0.221105,0.576509,,,,,,,,,0.7113227248191833,0.6105526015162468,0.7882543504238129,,,,,,
9,3,generator,generate_short_answer,-0.1,-0.592634,-0.28529,0.146847,-0.593985,,,,,,,,,,,0.20368316769599915,0.35735493898391724,641,0.2030075490474701,,
