episode,step,agent,discrete_action,reward,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,source_focus_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
1,1,retriever,hybrid_rerank,-0.05,-0.190582,0.220683,0.544341,-0.464597,0.40470875799655914,20,0.7721703052520752,0.2677013725042343,,,,,,,,,,,,
1,2,grader,strict_filter,-0.1,-0.012733,0.394287,0.76337,,,,,,,,,0.4936337019316852,0.6971434652805328,0.8816850185394287,,,,,,
1,3,generator,generate_short_answer,-0.1,-0.022328,-0.135187,-0.038436,-0.211251,,,,,,,,,,,0.48883603420108557,0.43240629881620407,558,0.39437437802553177,,
1,4,verifier,verify_answer,0.605,0.028853,0.600538,,,,,,,,,,,,,,,,,0.5144262742251158,0.8002687692642212
2,1,retriever,hybrid_rerank,-0.05,0.120386,-0.078651,0.377499,-0.358166,0.5601932182908058,16,0.6887495517730713,0.3209167718887329,,,,,,,,,,,,
2,2,grader,strict_filter,-0.1,0.070241,0.377907,0.489359,,,,,,,,,0.5351206548511982,0.6889536380767822,0.7446793913841248,,,,,,
2,3,generator,generate_short_answer,-0.1,0.25197,0.036499,0.124241,-0.208155,,,,,,,,,,,0.6259850710630417,0.5182492546737194,631,0.3959227353334427,,
2,4,verifier,verify_answer,0.605,0.327021,0.447857,,,,,,,,,,,,,,,,,0.6635103225708008,0.72392837703228
3,1,retriever,hybrid_rerank,-0.05,0.032956,0.02484,0.511138,-0.487213,0.5164778847247362,17,0.7555691599845886,0.2563936710357666,,,,,,,,,,,,
3,2,grader,strict_filter,-0.1,-0.041126,0.26513,1.0,,,,,,,,,0.4794370215386152,0.6325650662183762,1.0,,,,,,
3,3,generator,generate_short_answer,-0.1,0.157853,-0.150898,0.673569,-0.201178,,,,,,,,,,,0.5789262652397156,0.42455118149518967,877,0.39941123127937317,,
3,4,verifier,verify_answer,0.605,-0.042512,0.727717,,,,,,,,,,,,,,,,,0.4787442032247782,0.8638583421707153
4,1,retriever,hybrid_rerank,-0.05,-0.145421,-0.107041,0.204076,0.104051,0.4272894933819771,16,0.6020380854606628,0.5520253702998161,,,,,,,,,,,,
4,2,grader,strict_filter,-0.1,-0.082818,0.260495,0.585225,,,,,,,,,0.4585912488400936,0.6302473992109299,0.7926124632358551,,,,,,
4,3,generator,generate_answer,-0.1,0.116115,-0.090751,0.457497,-0.188832,,,,,,,,,,,0.5580576844513416,0.4546246714890003,780,0.40558383613824844,,
4,4,verifier,verify_answer,0.605,0.357348,0.966277,,,,,,,,,,,,,,,,,0.6786738187074661,0.9831384420394897
5,1,retriever,hybrid_rerank,-0.05,-0.15441,-0.117431,0.137439,-0.31823,0.42279504984617233,16,0.5687194764614105,0.340884804725647,,,,,,,,,,,,
5,2,grader,strict_filter,-0.1,0.538474,0.302605,0.421081,,,,,,,,,0.7692371010780334,0.6513023972511292,0.7105403691530228,,,,,,
5,3,generator,generate_short_answer,-0.1,0.378897,0.206962,0.174917,-0.380257,,,,,,,,,,,0.6894487291574478,0.6034808605909348,654,0.30987146496772766,,
5,4,verifier,verify_answer,0.605,0.277383,0.573039,,,,,,,,,,,,,,,,,0.6386916190385818,0.7865196764469147
6,1,retriever,hybrid_rerank,-0.05,-0.052007,-0.036458,0.371838,-0.142179,0.4739966168999672,17,0.6859191805124283,0.42891035228967667,,,,,,,,,,,,
6,2,grader,strict_filter,-0.1,0.365549,0.19867,0.576839,,,,,,,,,0.6827746778726578,0.599335141479969,0.7884196043014526,,,,,,
