episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.134772,-0.410132,-0.006659,-0.27329,0.134772,-0.410132,-0.006659,-0.27329,0.567385844886303,9,0.49667039373889565,0.36335521936416626,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.638873,-0.818992,0.070931,,0.638873,-0.818992,0.070931,0.0,,,,,,,0.8194365799427032,0.7271511793136596,0.5354652889072895,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.850197,0.571785,0.123005,-0.293785,0.850197,0.571785,0.123005,-0.293785,,,,,,,,,,0.9250984191894531,0.7858924269676208,231,0.3531075119972229,
1,4,verifier,verify_answer,verify_answer,0.6141,1,,-0.826902,,,,-0.826902,0.0,0.0,0.0,,,,,,,,,,,,,,0.08654895424842834
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.049758,-0.0307,-0.33424,-0.810239,0.049758,-0.0307,-0.33424,-0.810239,0.5248788651078939,12,0.33288003504276276,0.09488058090209961,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.432884,-0.782872,-0.379787,,0.432884,-0.782872,-0.379787,0.0,,,,,,,0.7164421081542969,0.7325692236423492,0.31010647118091583,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-0.07,0,verifier,0.434806,0.73484,0.002551,0.001701,0.434806,0.73484,0.002551,0.001701,,,,,,,,,,0.7174031585454941,0.8674198091030121,256,0.5008504430879839,
2,4,verifier,verify_answer,verify_answer,0.6822,1,,-0.854202,,,,-0.854202,0.0,0.0,0.0,,,,,,,,,,,,,,0.07289919257164001
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.16502,-0.24776,-0.307032,-0.515222,-0.16502,-0.24776,-0.307032,-0.515222,0.4174898490309715,10,0.34648390114307404,0.2423889935016632,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.553301,-0.821522,-0.179946,,0.553301,-0.821522,-0.179946,0.0,,,,,,,0.7766506373882294,0.7267717450857162,0.4100272133946419,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.917874,0.638804,-0.00662,0.091102,0.917874,0.638804,-0.00662,0.091102,,,,,,,,,,0.958937019109726,0.8194019794464111,266,0.5455509014427662,
3,4,verifier,verify_answer,verify_answer,0.5965,1,,-0.920896,,,,-0.920896,0.0,0.0,0.0,,,,,,,,,,,,,,0.03955179452896118
4,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.061799,0.091913,-0.126206,-0.744127,-0.061799,0.091913,-0.126206,-0.744127,0.4691003803163767,13,0.43689682334661484,0.1279364824295044,,,,,,,,,,
4,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.689496,-0.807155,-0.053095,,0.689496,-0.807155,-0.053095,0.0,,,,,,,0.8447479903697968,0.7289267033338547,0.47345248982310295,,,,,
4,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.551468,0.326268,-0.054313,0.19287,0.551468,0.326268,-0.054313,0.19287,,,,,,,,,,0.7757341861724854,0.6631341427564621,273,0.5964349657297134,
