episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.046909,0.220887,0.029963,-0.494066,0.046909,0.220887,0.029963,-0.494066,0.5234543979167938,8,0.5149816479533911,0.2529667615890503,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.52308,-0.889262,0.008028,,0.52308,-0.889262,0.008028,0.0,,,,,,,0.7615401148796082,0.5276844203472137,0.504013781901449,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.719217,0.550122,0.108819,-0.013694,0.719217,0.550122,0.108819,-0.013694,,,,,,,,,,0.8596085608005524,0.7750608026981354,267,0.49315304681658745,
1,4,verifier,verify_answer,verify_answer,0.5262,1,,-0.769468,,,,-0.769468,0.0,0.0,0.0,,,,,,,,,,,,,,0.1152658760547638
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.023129,-0.009972,-0.289112,-0.838822,0.023129,-0.009972,-0.289112,-0.838822,0.5115643739700317,7,0.35544411838054657,0.08058908581733704,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.499826,-0.806825,-0.314779,,0.499826,-0.806825,-0.314779,0.0,,,,,,,0.7499131262302399,0.548293724656105,0.3426104187965393,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-0.07,0,verifier,0.284669,0.849035,0.055706,0.179518,0.284669,0.849035,0.055706,0.179518,,,,,,,,,,0.6423344761133194,0.9245177209377289,286,0.589758887887001,
2,4,verifier,verify_answer,verify_answer,0.7723,1,,-0.761789,,,,-0.761789,0.0,0.0,0.0,,,,,,,,,,,,,,0.11910563707351685
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.038539,0.284672,-0.210758,-0.584966,-0.038539,0.284672,-0.210758,-0.584966,0.48073055781424046,8,0.39462124556303024,0.2075168788433075,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.528527,-0.866247,-0.22829,,0.528527,-0.866247,-0.22829,0.0,,,,,,,0.7642634212970734,0.5334383249282837,0.3858550190925598,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.907395,0.577006,-0.410199,0.295021,0.907395,0.577006,-0.410199,0.295021,,,,,,,,,,0.9536976516246796,0.7885027825832367,232,0.6475104838609695,
3,4,verifier,verify_answer,verify_answer,0.4861,1,,-0.921601,,,,-0.921601,0.0,0.0,0.0,,,,,,,,,,,,,,0.03919953107833862
4,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.005201,-0.005113,-0.095454,-0.688764,-0.005201,-0.005113,-0.095454,-0.688764,0.49739928380586207,7,0.45227282121777534,0.15561804175376892,,,,,,,,,,
4,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.760809,-0.823025,-0.104186,,0.760809,-0.823025,-0.104186,0.0,,,,,,,0.8804046809673309,0.5442437529563904,0.4479071646928787,,,,,
