question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
Why is Norway’s status as an Expanding Circle country described as increasingly fuzzy?,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.","Norway's status as an Expanding Circle country is described as increasingly fuzzy because English has developed over the past decades, and the traditional model of categorizing speakers into groups based solely on geographical borders is no longer clear-cut.",crag_rewrite,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,5.51,ok,,0.0,0.25,0.25,1.0,1.0,1.0,1.0
Which two pre-training tasks are used in BERT?,BERT uses masked language modeling and next sentence prediction.,"The two pre-training tasks used in BERT are Masked LM and another task, but the name of the second task is not specified in the provided text, however, it is mentioned as NSP in the visual description of Figure 1.",crag_rewrite,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,1.4945,ok,,0.0,0.12244897959183673,0.12244897959183673,1.0,1.0,1.0,1.0
"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.","The deepest residual network reported is 152 layers, which is 8 times deeper than VGG nets.",crag_rewrite,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",direct_fact_lookup,easy,1.4345,ok,,0.0,0.8648648648648648,0.8648648648648648,1.0,1.0,1.0,1.0
What is Naive RAG according to the survey?,"Naive RAG is the basic retrieve-read framework with three stages: indexing documents into chunks and vectors, retrieving the top relevant chunks for a query, and generating an answer from the query plus the retrieved context.","Naive RAG is the earliest methodology in the Retrieval-Augmented Generation for Large Language Models paradigm, which employs a retrieval phase to transform a user query into a vector representation and then uses the retrieved chunks as the expanded context in a prompt for a large language model to formulate a response.",crag_rewrite,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",definition_explanation,medium,1.3332,ok,,0.0,0.3488372093023256,0.2790697674418605,1.0,1.0,1.0,1.0
What is self-attention in the Transformer paper?,Self-attention is an attention mechanism that relates different positions within the same sequence so the model can build representations using dependencies across positions.,"The Transformer uses self-attention in three different ways, including in the encoder where each position can attend to all positions in the previous layer, and in the decoder where each position can attend to all positions up to and including that position.",crag_rewrite,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf""]",definition_explanation,medium,1.4226,ok,,0.0,0.24615384615384614,0.2153846153846154,1.0,0.5,1.0,1.0
Why does TabNet argue that tabular data is difficult for standard deep neural networks?,"TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.",,crag_rewrite,"[""TabNet.pdf""]",[],definition_explanation,medium,2.2554,error,"{""status_code"": 500, ""detail"": ""{\""detail\"":{\""message\"":\""Brain processing failed.\"",\""architecture\"":\""crag_rewrite\"",\""error\"":\""cannot access local variable 'rewritten_query' where it is not associated with a value\""}}""}",,,,,,,
How does the grammar translation method differ from the Reform movement in language teaching priorities?,"Grammar translation emphasized abstract grammar rules, vocabulary, and translation. The Reform movement shifted the focus toward listening, speaking, pronunciation, phonetics, and discovering grammar through more coherent language use.","The grammar translation method differs from the Reform movement in that it prioritizes reading and writing, focusing on learning abstract grammar rules and vocabulary, whereas the Reform movement shifts the priority to listening and speaking.",crag_rewrite,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf""]",intra_paper_comparison,medium,10.6858,ok,,0.0,0.4444444444444445,0.38095238095238093,1.0,1.0,1.0,1.0
How does BERT compare feature-based transfer approaches with fine-tuning approaches?,"Feature-based approaches use pretrained representations as features inside task-specific architectures, while fine-tuning approaches add minimal new parameters and adapt all pretrained parameters directly on the downstream task. BERT is presented as a fine-tuning based model.","BERT compares feature-based transfer approaches with fine-tuning approaches by applying both to the CoNLL-2003 Named Entity Recognition task, and the results show that BERT is effective for both approaches, with the feature-based approach concatenating token representations from the top four hidden layers performing competitively with fine-tuning the entire model.",crag_rewrite,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",intra_paper_comparison,medium,11.7474,ok,,0.0,0.28571428571428575,0.23809523809523808,1.0,1.0,1.0,1.0
How do plain networks differ from residual networks in the ResNet paper’s framing of the optimization problem?,"Plain networks simply stack layers and become harder to optimize as depth increases, while residual networks reformulate learning as fitting a residual function with shortcut connections, making deeper models easier to optimize.",,crag_rewrite,"[""ImgRecog.pdf""]",[],intra_paper_comparison,medium,15.6648,error,"{""status_code"": 500, ""detail"": ""{\""detail\"":{\""message\"":\""Brain processing failed.\"",\""architecture\"":\""crag_rewrite\"",\""error\"":\""cannot access local variable 'rewritten_query' where it is not associated with a value\""}}""}",,,,,,,
"According to Figure 1 in the Transformer paper, what are the major components of the encoder and decoder?","The encoder uses input embeddings plus positional encoding, multi-head self-attention, add-and-norm, and feed-forward layers. The decoder uses output embeddings shifted right plus positional encoding, masked multi-head self-attention, attention over encoder outputs, add-and-norm, feed-forward layers, and finally a linear layer with softmax.","The Transformer model architecture consists of an encoder with multiple heads of attention and feed forward neural networks, and a decoder with multiple heads of attention and feed forward neural networks, where inputs are processed through the encoder and outputs are shifted right before being used as input to the decoder.",crag_rewrite,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""TabNet.pdf"", ""NeurIPS-2020-retrieval-augmented-generation-for-knowledge-intensive-nlp-tasks-Paper.pdf""]",figure_table_diagram_grounded,medium,9.6264,ok,,0.0,0.30434782608695654,0.15217391304347827,1.0,0.3333333333333333,1.0,1.0
"According to Figure 1 in the ResNet paper, what happens to training and test error when moving from a 20-layer plain network to a 56-layer plain network on CIFAR-10?",The deeper 56-layer plain network has higher training error and higher test error than the 20-layer plain network.,The deeper 56-layer plain network has higher training error and thus higher test error compared to the 20-layer plain network on CIFAR-10.,crag_rewrite,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",figure_table_diagram_grounded,easy,15.7135,ok,,0.0,0.85,0.85,1.0,1.0,1.0,1.0
"According to Figure 2 in the TabNet paper, how does unsupervised pre-training connect to supervised fine-tuning?","The figure shows an encoder-decoder setup used during unsupervised pre-training to reconstruct masked or missing features, and then the pretrained encoder is reused for supervised fine-tuning and decision making.",,crag_rewrite,"[""TabNet.pdf""]",[],figure_table_diagram_grounded,medium,9.7845,error,"{""status_code"": 500, ""detail"": ""{\""detail\"":{\""message\"":\""Brain processing failed.\"",\""architecture\"":\""crag_rewrite\"",\""error\"":\""cannot access local variable 'rewritten_query' where it is not associated with a value\""}}""}",,,,,,,
How does the English paper connect the global status of English with local curriculum and student language practices in Norway?,"The paper links the global spread of English to local Norwegian ELT by arguing that changing worldwide uses of English influence curriculum priorities, beliefs about language, and how Norwegian learners position themselves and use English in practice.","The English paper connects the global status of English with local curriculum and student language practices in Norway by acknowledging the globalness of English and its relevance to language learning, while also investigating how Norwegian learners interpret and respond to the development of English, and what they are doing linguistically with English given the conditions of the Norwegian ELT context.",crag_rewrite,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf""]",multi_chunk_synthesis,hard,11.6736,ok,,0.0,0.4536082474226804,0.3298969072164949,1.0,1.0,1.0,1.0
Why does the RAG survey argue that Advanced RAG and Modular RAG emerged after Naive RAG?,"The survey says they emerged because Naive RAG has weaknesses in retrieval precision and recall, generation quality, and augmentation coherence, so later paradigms introduced targeted improvements to fix those shortcomings.",The RAG survey argues that Advanced RAG and Modular RAG emerged after Naive RAG because the development of Advanced RAG and Modular RAG was a response to the specific shortcomings in Naive RAG.,crag_rewrite,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",multi_chunk_synthesis,hard,11.7756,ok,,0.0,0.3492063492063492,0.253968253968254,1.0,1.0,1.0,1.0
