question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
Why is Norway’s status as an Expanding Circle country described as increasingly fuzzy?,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.","Norway's status as an Expanding Circle country is described as increasingly fuzzy because the country has seen an increase in English language access and domain use, with English often used as a lingua franca in large companies and higher education, and being a mandatory school subject for 11 years, resulting in widespread exposure and familiarity with the language.",self_rag_grader,"[""English.pdf""]","[""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,7.1413,ok,,0.0,0.30952380952380953,0.2619047619047619,1.0,1.0,1.0,1.0
Which two pre-training tasks are used in BERT?,BERT uses masked language modeling and next sentence prediction.,"The two pre-training tasks used in BERT are Masked LM and NSP, as described in the pre-training procedures for BERT.",self_rag_grader,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,2.6571,ok,,0.0,0.20689655172413793,0.20689655172413793,1.0,1.0,1.0,1.0
"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.","The deepest residual network reported is 152 layers, which is 8 times deeper than VGG nets but still has lower complexity.",self_rag_grader,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",direct_fact_lookup,easy,2.6628,ok,,0.0,0.7619047619047619,0.7619047619047619,1.0,1.0,1.0,1.0
What is Naive RAG according to the survey?,"Naive RAG is the basic retrieve-read framework with three stages: indexing documents into chunks and vectors, retrieving the top relevant chunks for a query, and generating an answer from the query plus the retrieved context.","Naive RAG represents the earliest methodology in the RAG research paradigm, which follows a traditional process that includes indexing, retrieval, and generation, also characterized as a “Retrieve-Read” framework.",self_rag_grader,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",definition_explanation,medium,2.1501,ok,,0.0,0.2857142857142857,0.19047619047619047,1.0,1.0,1.0,1.0
What is self-attention in the Transformer paper?,Self-attention is an attention mechanism that relates different positions within the same sequence so the model can build representations using dependencies across positions.,"Self-attention in the Transformer allows every position in the decoder to attend over all positions in the input sequence, and in the encoder and decoder, each position can attend to all positions in the previous layer, enabling the model to follow long-distance dependencies.",self_rag_grader,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf""]",definition_explanation,medium,17.0751,ok,,0.0,0.2727272727272727,0.21212121212121213,1.0,1.0,1.0,1.0
Why does TabNet argue that tabular data is difficult for standard deep neural networks?,"TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.","TabNet argues that tabular data is difficult for standard deep neural networks because previously proposed architectures, such as stacked convolutional layers or multi-layer perceptrons, are not well-suited for tabular data and are vastly overparametrized, often causing them to fail to find optimal solutions.",self_rag_grader,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf""]",definition_explanation,medium,16.5113,ok,,0.0,0.38554216867469876,0.2891566265060241,1.0,1.0,1.0,1.0
How does the grammar translation method differ from the Reform movement in language teaching priorities?,"Grammar translation emphasized abstract grammar rules, vocabulary, and translation. The Reform movement shifted the focus toward listening, speaking, pronunciation, phonetics, and discovering grammar through more coherent language use.","The grammar translation method differs from the Reform movement in that it prioritizes reading and writing, focusing on learning abstract grammar rules and vocabulary, whereas the Reform movement shifts the priority to listening and speaking.",self_rag_grader,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf""]",intra_paper_comparison,medium,16.5888,ok,,0.0,0.4444444444444445,0.38095238095238093,1.0,1.0,1.0,1.0
How does BERT compare feature-based transfer approaches with fine-tuning approaches?,"Feature-based approaches use pretrained representations as features inside task-specific architectures, while fine-tuning approaches add minimal new parameters and adapt all pretrained parameters directly on the downstream task. BERT is presented as a fine-tuning based model.","BERT compares feature-based transfer approaches with fine-tuning approaches by applying them to the CoNLL-2003 Named Entity Recognition task, and the results show that BERT is effective for both approaches, with the feature-based approach concatenating token representations from the top four hidden layers of the pre-trained Transformer being only 0.3 F1 behind fine-tuning the entire model.",self_rag_grader,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",intra_paper_comparison,medium,16.7399,ok,,0.0,0.2888888888888889,0.2222222222222222,1.0,1.0,1.0,1.0
How do plain networks differ from residual networks in the ResNet paper’s framing of the optimization problem?,"Plain networks simply stack layers and become harder to optimize as depth increases, while residual networks reformulate learning as fitting a residual function with shortcut connections, making deeper models easier to optimize.","Plain networks differ from residual networks in that the latter have a shortcut connection added to each pair of 3×3 filters, which allows them to ease the optimization by providing faster convergence at the early stage, whereas plain networks may have exponentially low convergence rates, leading to optimization difficulties.",self_rag_grader,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",intra_paper_comparison,medium,23.1967,ok,,0.0,0.19753086419753088,0.1728395061728395,1.0,1.0,1.0,1.0
"According to Figure 1 in the Transformer paper, what are the major components of the encoder and decoder?","The encoder uses input embeddings plus positional encoding, multi-head self-attention, add-and-norm, and feed-forward layers. The decoder uses output embeddings shifted right plus positional encoding, masked multi-head self-attention, attention over encoder outputs, add-and-norm, feed-forward layers, and finally a linear layer with softmax.","The major components of the encoder and decoder in the Transformer model architecture, as shown in Figure 1, are stacked self-attention and pointwise, fully connected layers, with the encoder composed of a stack of identical layers, each having a multi-head self-attention mechanism and a position-wise fully connected feed-forward network.",self_rag_grader,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf""]",figure_table_diagram_grounded,medium,14.5402,ok,,0.0,0.3333333333333333,0.22222222222222224,1.0,1.0,1.0,1.0
