episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.134772,-0.410132,-0.006659,-0.27329,0.134772,-0.410132,-0.006659,-0.27329,0.567385844886303,9,0.49667039373889565,0.36335521936416626,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.650866,-0.81853,0.079396,,0.650866,-0.81853,0.079396,0.0,,,,,,,0.8254329264163971,0.7272205144166946,0.5396977923810482,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.859021,0.566443,0.131115,-0.297224,0.859021,0.566443,0.131115,-0.297224,,,,,,,,,,0.9295105934143066,0.7832213640213013,231,0.35138802230358124,
1,4,verifier,verify_answer,verify_answer,0.7327,1,,-0.823548,,,,-0.823548,0.0,0.0,0.0,,,,,,,,,,,,,,0.08822610974311829
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.049758,-0.0307,-0.33424,-0.810239,0.049758,-0.0307,-0.33424,-0.810239,0.5248788651078939,12,0.33288003504276276,0.09488058090209961,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.433633,-0.782685,-0.379629,,0.433633,-0.782685,-0.379629,0.0,,,,,,,0.7168163359165192,0.7325973153114318,0.3101854920387268,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-0.07,0,verifier,0.435306,0.733634,0.003133,0.001659,0.435306,0.733634,0.003133,0.001659,,,,,,,,,,0.7176531702280045,0.8668169975280762,256,0.5008293486316688,
2,4,verifier,verify_answer,verify_answer,0.6433,1,,-0.843401,,,,-0.843401,0.0,0.0,0.0,,,,,,,,,,,,,,0.07829973101615906
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.16502,-0.24776,-0.307032,-0.515222,-0.16502,-0.24776,-0.307032,-0.515222,0.4174898490309715,10,0.34648390114307404,0.2423889935016632,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.553791,-0.82141,-0.180116,,0.553791,-0.82141,-0.180116,0.0,,,,,,,0.7768955528736115,0.7267884373664856,0.4099420979619026,,,,,
