episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size
1,Q026,0.355,4,3,accepted,1,1.0,0.002,0,4
2,Q003,0.355,4,3,accepted,1,1.0,0.001,0,8
3,Q011,0.355,4,3,accepted,1,1.0,0.001,0,12
4,Q031,0.355,4,3,accepted,1,1.0,0.001,0,16
5,Q003,0.355,4,3,accepted,1,1.0,0.001,0,20
6,Q015,0.355,4,3,accepted,1,1.0,0.001,0,24
7,Q008,0.355,4,3,accepted,1,1.0,0.001,0,28
8,Q010,0.355,4,3,accepted,1,1.0,0.001,0,32
9,Q009,0.355,4,3,accepted,1,1.0,0.001,0,36
10,Q001,0.355,4,3,accepted,1,1.0,0.001,0,40
11,Q022,0.355,4,3,accepted,1,1.0,0.001,0,44
12,Q015,0.355,4,3,accepted,1,1.0,0.001,0,48
13,Q004,0.355,4,3,accepted,1,1.0,0.001,0,52
14,Q012,0.53,4,3,accepted,1,1.0,0.001,0,56
15,Q011,0.355,4,3,accepted,1,1.0,0.001,0,60
16,Q015,0.355,4,3,accepted,1,1.0,0.001,0,64
17,Q038,0.4925,4,3,accepted,1,1.0,0.001,0,68
18,Q026,0.355,4,3,accepted,1,1.0,0.001,0,72
19,Q016,0.355,4,3,accepted,1,1.0,0.001,0,76
20,Q011,0.355,4,3,accepted,1,1.0,0.001,0,80
21,Q024,0.355,4,3,accepted,1,1.0,0.001,0,84
22,Q010,0.355,4,3,accepted,1,1.0,0.001,0,88
23,Q006,0.355,4,3,accepted,1,1.0,0.001,0,92
24,Q024,0.355,4,3,accepted,1,1.0,0.001,0,96
25,Q033,0.355,4,3,accepted,1,1.0,0.001,0,100
26,Q012,0.53,4,3,accepted,1,1.0,0.001,0,104
27,Q005,0.355,4,3,accepted,1,1.0,0.001,0,108
28,Q023,0.355,4,3,accepted,1,1.0,0.001,0,112
29,Q016,0.355,4,3,accepted,1,1.0,0.001,0,116
30,Q006,0.355,4,3,accepted,1,1.0,0.001,0,120
31,Q023,0.355,4,3,accepted,1,1.0,0.001,0,124
32,Q012,0.53,4,3,accepted,1,1.0,0.001,0,128
33,Q004,0.355,4,3,accepted,1,1.0,0.001,0,132
34,Q020,0.355,4,3,accepted,1,1.0,0.001,0,136
35,Q016,0.355,4,3,accepted,1,1.0,0.001,0,140
36,Q003,0.355,4,3,accepted,1,1.0,0.001,0,144
37,Q021,0.53,4,3,accepted,1,1.0,0.001,0,148
38,Q016,0.355,4,3,accepted,1,1.0,0.001,0,152
39,Q022,0.355,4,3,accepted,1,1.0,0.001,0,156
40,Q008,0.355,4,3,accepted,1,1.0,0.001,0,160
41,Q005,0.355,4,3,accepted,1,1.0,0.001,0,164
42,Q005,0.355,4,3,accepted,1,1.0,0.001,0,168
43,Q004,0.355,4,3,accepted,1,1.0,0.001,0,172
44,Q018,0.53,4,3,accepted,1,1.0,0.001,0,176
45,Q034,0.355,4,3,accepted,1,1.0,0.001,0,180
46,Q004,0.355,4,3,accepted,1,1.0,0.001,0,184
47,Q011,0.355,4,3,accepted,1,1.0,0.001,0,188
48,Q029,0.355,4,3,accepted,1,1.0,0.001,0,192
49,Q034,0.355,4,3,accepted,1,1.0,0.001,0,196
50,Q029,0.355,4,3,accepted,1,1.0,0.001,0,200
