episode,step,agent,discrete_action,reward,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,source_focus_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
1,1,retriever,hybrid_rerank,-0.02,0.3941725492477417,0.06820223480463028,0.2512500286102295,-0.19993573427200317,0.6970862746238708,18,0.6256250143051147,0.4000321328639984,,,,,,,,,,,,
1,2,grader,medium_filter,-0.07,0.6953901648521423,-0.3243122696876526,0.04812158644199371,,,,,,,,,0.8476950824260712,0.3378438651561737,0.5240607932209969,,,,,,
1,3,generator,generate_short_answer,-0.07,-0.10754986107349396,0.04758608713746071,-0.35848096013069153,-0.39103615283966064,,,,,,,,,,,0.446225069463253,0.5237930435687304,415,0.3044819235801697,,
1,4,verifier,verify_answer,0.1924,-0.6731449365615845,-0.5745314955711365,,,,,,,,,,,,,,,,,0.16342753171920776,0.21273425221443176
2,1,retriever,hybrid_rerank,-0.02,0.24467733502388,0.24079208076000214,0.334339439868927,0.0830732136964798,0.62233866751194,20,0.6671697199344635,0.5415366068482399,,,,,,,,,,,,
2,2,grader,medium_filter,-0.07,0.6349136233329773,-0.0750589668750763,-0.05953778699040413,,,,,,,,,0.8174568116664886,0.46247051656246185,0.47023110650479794,,,,,,
2,3,generator,generate_short_answer,-0.07,0.31033119559288025,-0.1262868493795395,-0.39071834087371826,-0.5875645875930786,,,,,,,,,,,0.6551655977964401,0.43685657531023026,400,0.2062177062034607,,
2,4,verifier,verify_answer,0.4561,-0.5124600529670715,-0.7699211239814758,,,,,,,,,,,,,,,,,0.24376997351646423,0.11503943800926208
3,1,retriever,hybrid_rerank,-0.02,0.5677088499069214,0.08615626394748688,0.4020310044288635,-0.18282005190849304,0.7838544249534607,18,0.7010155022144318,0.4085899740457535,,,,,,,,,,,,
3,2,grader,medium_filter,-0.07,0.7684651017189026,0.06573984771966934,0.2514112889766693,,,,,,,,,0.8842325508594513,0.5328699238598347,0.6257056444883347,,,,,,
3,3,generator,generate_short_answer,-0.07,0.42602232098579407,-0.03211291879415512,-0.8652030825614929,-0.37580278515815735,,,,,,,,,,,0.713011160492897,0.48394354060292244,188,0.3120986074209213,,
3,4,verifier,verify_answer,0.7347,-0.657849907875061,-0.763456404209137,,,,,,,,,,,,,,,,,0.17107504606246948,0.11827179789543152
4,1,retriever,hybrid_rerank,-0.02,0.24543321132659912,-0.11647637188434601,0.19042688608169556,0.2499174326658249,0.6227166056632996,16,0.5952134430408478,0.6249587163329124,,,,,,,,,,,,
