episode,step,agent,discrete_action,reward,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,source_focus_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
1,1,retriever,hybrid_rerank,-0.0502,-0.462605,-0.035948,0.386544,0.33789,0.26869726181030273,17,0.6932718455791473,0.6689451932907104,,,,,,,,,,,,
1,2,grader,medium_filter,-0.1002,-0.274178,-0.381142,0.070137,,,,,,,,,0.3629111498594284,0.3094289004802704,0.5350684896111488,,,,,,
1,3,generator,generate_answer,-0.1002,0.22914,-0.386358,-0.156631,0.076626,,,,,,,,,,,0.6145698577165604,0.3068210333585739,505,0.5383130759000778,,
1,4,verifier,verify_answer,0.7798,-0.395756,0.645551,,,,,,,,,,,,,,,,,0.3021220713853836,0.8227757215499878
2,1,retriever,hybrid_rerank,-0.05,-0.838,-0.169825,0.625451,0.335331,0.08099985122680664,15,0.812725692987442,0.6676655560731888,,,,,,,,,,,,
2,2,grader,medium_filter,-0.1,-0.354997,-0.426349,0.039416,,,,,,,,,0.3225015550851822,0.28682564198970795,0.5197078175842762,,,,,,
2,3,generator,generate_answer,-0.1,0.363622,-0.233494,0.180588,0.199398,,,,,,,,,,,0.6818108558654785,0.3832528218626976,656,0.5996990948915482,,
2,4,verifier,verify_answer,0.765,-0.389723,0.590432,,,,,,,,,,,,,,,,,0.3051386773586273,0.7952157855033875
3,1,retriever,hybrid_rerank,-0.05,-0.654786,-0.061405,0.563186,0.117007,0.17260706424713135,16,0.7815929353237152,0.5585034191608429,,,,,,,,,,,,
3,2,grader,medium_filter,-0.1,-0.324782,-0.395958,-0.091527,,,,,,,,,0.33760909736156464,0.30202095210552216,0.4542366936802864,,,,,,
3,3,generator,generate_answer,-0.1,0.427243,-0.087949,0.374034,-0.16631,,,,,,,,,,,0.7136215269565582,0.45602573454380035,743,0.4168451502919197,,
3,4,verifier,verify_answer,0.605,-0.468338,0.87302,,,,,,,,,,,,,,,,,0.265830934047699,0.9365101456642151
4,1,retriever,hybrid_rerank,-0.05,-0.619835,-0.133327,0.873478,0.0841,0.1900826394557953,15,0.9367392063140869,0.5420500412583351,,,,,,,,,,,,
4,2,grader,medium_filter,-0.1,-0.373165,-0.74499,0.008709,,,,,,,,,0.31341734528541565,0.12750494480133057,0.5043544974178076,,,,,,
4,3,generator,generate_answer,-0.1,-0.015476,-0.419424,0.329524,-0.148593,,,,,,,,,,,0.49226175667718053,0.2902878075838089,723,0.42570362240076065,,
4,4,verifier,verify_answer,0.78,-0.502786,0.516591,,,,,,,,,,,,,,,,,0.24860703945159912,0.7582955360412598
5,1,retriever,hybrid_rerank,-0.05,-0.488169,-0.196673,0.627347,0.247748,0.25591543316841125,15,0.8136737048625946,0.6238739266991615,,,,,,,,,,,,
5,2,grader,medium_filter,-0.1,-0.374766,-0.463769,0.064233,,,,,,,,,0.31261710822582245,0.26811566948890686,0.5321166478097439,,,,,,
5,3,generator,generate_answer,-0.1,0.088366,-0.234596,0.360447,0.011419,,,,,,,,,,,0.5441831238567829,0.38270221650600433,737,0.5057094297371805,,
5,4,verifier,verify_answer,0.78,-0.242518,0.509807,,,,,,,,,,,,,,,,,0.37874118983745575,0.7549035549163818
6,1,retriever,hybrid_rerank,-0.05,-0.776254,-0.21925,0.267359,0.365043,0.11187276244163513,14,0.63367959856987,0.6825215816497803,,,,,,,,,,,,
6,2,grader,loose_filter,-0.1,-0.335805,-0.500108,-0.212623,,,,,,,,,0.33209726214408875,0.2499462366104126,0.3936886414885521,,,,,,
6,3,generator,generate_answer,-0.1,0.237474,-0.344866,0.043424,-0.178057,,,,,,,,,,,0.6187367662787437,0.32756683230400085,595,0.4109715148806572,,
6,4,verifier,verify_answer,0.605,-0.493417,0.811009,,,,,,,,,,,,,,,,,0.25329141318798065,0.9055047035217285
7,1,retriever,hybrid_rerank,-0.05,-0.476564,-0.107633,0.613952,0.32681,0.2617179900407791,16,0.8069760799407959,0.6634052097797394,,,,,,,,,,,,
7,2,grader,medium_filter,-0.1,-0.401235,-0.23685,0.000367,,,,,,,,,0.29938264191150665,0.3815748542547226,0.5001837254385464,,,,,,
7,3,generator,generate_answer,-0.1,0.508109,-0.127012,0.246989,-0.151233,,,,,,,,,,,0.7540545165538788,0.43649399280548096,686,0.4243835210800171,,
7,4,verifier,verify_answer,0.605,-0.198441,0.882252,,,,,,,,,,,,,,,,,0.4007794111967087,0.9411259293556213
8,1,retriever,hybrid_rerank,-0.05,-0.583351,-0.175653,0.430153,0.184083,0.20832428336143494,15,0.7150764912366867,0.592041552066803,,,,,,,,,,,,
8,2,grader,medium_filter,-0.1,-0.384838,-0.501108,0.079728,,,,,,,,,0.3075811564922333,0.24944597482681274,0.5398640744388103,,,,,,
8,3,generator,generate_answer,-0.1,0.279583,-0.23674,0.222078,0.090633,,,,,,,,,,,0.63979172706604,0.3816297873854637,675,0.5453164502978325,,
8,4,verifier,verify_answer,0.605,-0.467928,1.0,,,,,,,,,,,,,,,,,0.26603615283966064,1.0
9,1,retriever,hybrid_rerank,-0.05,-0.671211,0.013474,0.645015,0.13926,0.1643943190574646,17,0.8225075602531433,0.5696297958493233,,,,,,,,,,,,
9,2,grader,medium_filter,-0.1,-0.609083,-0.744727,0.037891,,,,,,,,,0.19545871019363403,0.12763673067092896,0.5189456641674042,,,,,,
9,3,generator,generate_answer,-0.1,0.391489,-0.26166,0.187487,0.077988,,,,,,,,,,,0.6957444548606873,0.36917024850845337,659,0.5389938093721867,,
9,4,verifier,verify_answer,0.78,-0.402768,0.642429,,,,,,,,,,,,,,,,,0.2986159473657608,0.8212146461009979
10,1,retriever,hybrid_rerank,-0.05,-0.230428,-0.029032,0.504432,0.470951,0.38478609174489975,17,0.7522159516811371,0.7354752868413925,,,,,,,,,,,,
10,2,grader,medium_filter,-0.1,-0.351945,-0.607872,0.302907,,,,,,,,,0.324027419090271,0.1960638463497162,0.6514536738395691,,,,,,
10,3,generator,generate_answer,-0.1,0.503412,-0.351473,0.142839,0.082045,,,,,,,,,,,0.7517060935497284,0.32426343858242035,639,0.5410227030515671,,
10,4,verifier,verify_answer,0.605,-0.330734,0.614345,,,,,,,,,,,,,,,,,0.33463288843631744,0.8071726858615875
