system,data_source,question_id,category,difficulty,token_f1,rouge_l,correctness,faithfulness,citation_support,source_precision,source_recall,verification_pass,unsupported_claims,latency_seconds,num_llm_calls,token_usage,num_steps,final_status,is_failure,answer_len,answer_snippet
discrete_marl,real_llm,Q001,direct_fact_lookup,easy,0.4444,0.439,0.4444,1.0,1.0,0.0,0.0,1,0,21.574,3,4128,4,accepted,0,191,"The four main subject areas of the current Norwegian national English curriculum are *Language learning*, *Oral communic"
discrete_marl,real_llm,Q002,direct_fact_lookup,easy,0.4091,0.35,0.4091,1.0,1.0,0.0,0.0,1,0,1.531,2,2500,4,accepted,0,538,**Inner Circle**: Represents native English speakers who have English as their first language. **Outer Circle**: Represe
discrete_marl,real_llm,Q003,definition_explanation,medium,0.35,0.2301,0.35,0.5,0.5,0.0,0.0,0,1,32.255,2,2554,4,rejected,1,442,The concept of English is context-dependent because what English is depends on the context in which the reference is use
discrete_marl,real_llm,Q004,definition_explanation,medium,0.5135,0.3256,0.5135,1.0,1.0,0.0,0.0,1,0,46.593,2,3808,4,accepted,0,323,TabNet argues that tabular data is difficult for standard deep neural networks because previously-proposed DNN architect
discrete_marl,real_llm,Q005,intra_paper_comparison,medium,0.1316,0.101,0.1316,1.0,1.0,0.0,0.0,1,0,49.756,2,4002,4,accepted,0,413,BERT's masked language model objective differs from next sentence prediction in that the masked language model randomly 
discrete_marl,real_llm,Q006,intra_paper_comparison,medium,0.0784,0.0909,0.0784,1.0,1.0,0.0,0.0,1,0,39.391,2,3156,4,accepted,0,247,"The encoder and decoder stacks in the Transformer architecture differ in that the decoder inserts a third sub-layer, whi"
discrete_marl,real_llm,Q007,figure_table_diagram_grounded,easy,0.0678,0.08,0.0678,0.0,0.0,1.0,1.0,0,1,48.264,2,3454,4,rejected,1,409,"The identity shortcut in the residual block plays the role of maintaining the input vector $\mathbf{x}$, allowing the re"
discrete_marl,real_llm,Q008,figure_table_diagram_grounded,medium,0.037,0.0339,0.037,1.0,1.0,0.0,0.0,1,0,40.955,2,2868,4,accepted,0,259,"Unsupervised pre-training results in an improved encoder model for the supervised learning task, as shown in Figure 2: S"
discrete_marl,real_llm,Q009,figure_table_diagram_grounded,medium,0.1043,0.0706,0.1043,0.5,0.5,0.0,0.0,0,3,58.173,2,4254,4,rejected,1,887,"The question does not mention Figure 1, but rather asks about Figure 1 is not present in the retrieved documents, so we "
maddpg_no_ceb,dry_run_stub,Q001,direct_fact_lookup,easy,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0.002,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_no_ceb,dry_run_stub,Q002,direct_fact_lookup,easy,0.04,0.0312,0.04,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_no_ceb,dry_run_stub,Q003,definition_explanation,medium,0.0769,0.0345,0.0769,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_no_ceb,dry_run_stub,Q004,definition_explanation,medium,0.0784,0.0351,0.0784,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_no_ceb,dry_run_stub,Q005,intra_paper_comparison,medium,0.0833,0.0755,0.0833,1.0,1.0,0.3333,1.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_no_ceb,dry_run_stub,Q006,intra_paper_comparison,medium,0.05,0.0455,0.05,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_no_ceb,dry_run_stub,Q007,figure_table_diagram_grounded,easy,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_no_ceb,dry_run_stub,Q008,figure_table_diagram_grounded,medium,0.0541,0.05,0.0541,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_no_ceb,dry_run_stub,Q009,figure_table_diagram_grounded,medium,0.0455,0.0435,0.0455,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_ceb,dry_run_stub,Q001,direct_fact_lookup,easy,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_ceb,dry_run_stub,Q002,direct_fact_lookup,easy,0.04,0.0312,0.04,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_ceb,dry_run_stub,Q003,definition_explanation,medium,0.0769,0.0345,0.0769,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_ceb,dry_run_stub,Q004,definition_explanation,medium,0.0784,0.0351,0.0784,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_ceb,dry_run_stub,Q005,intra_paper_comparison,medium,0.0833,0.0755,0.0833,1.0,1.0,0.3333,1.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_ceb,dry_run_stub,Q006,intra_paper_comparison,medium,0.05,0.0455,0.05,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_ceb,dry_run_stub,Q007,figure_table_diagram_grounded,easy,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_ceb,dry_run_stub,Q008,figure_table_diagram_grounded,medium,0.0541,0.05,0.0541,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
maddpg_ceb,dry_run_stub,Q009,figure_table_diagram_grounded,medium,0.0455,0.0435,0.0455,1.0,1.0,0.0,0.0,1,0,0.001,3,0,4,accepted,0,123,[DRY-RUN] Answer about Transformer models introduced by Vaswani et al. rely on self-attention mechanisms to process sequ
