question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
Why is Norway’s status as an Expanding Circle country described as increasingly fuzzy?,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.","Norway's status as an Expanding Circle country is described as increasingly fuzzy because the country has seen an increase in English language access and domain use, with English often used as a lingua franca in large companies and in higher education, and all Norwegians having had some form of English language teaching, making English a familiar language for Norwegians.",final_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,10.6474,ok,,0.0,0.3058823529411765,0.25882352941176473,1.0,1.0,1.0,1.0
Which two pre-training tasks are used in BERT?,BERT uses masked language modeling and next sentence prediction.,"The two pre-training tasks used in BERT are Masked LM and Next Sentence Prediction, referred to as NSP.",final_hybrid_rag,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,7.6025,ok,,0.0,0.4444444444444444,0.4444444444444444,1.0,1.0,1.0,1.0
"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.","The deepest residual network reported is 152 layers, which is 8 times deeper than VGG nets but still has lower complexity.",final_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",direct_fact_lookup,easy,39.5987,ok,,0.0,0.7619047619047619,0.7619047619047619,1.0,1.0,1.0,1.0
What is Naive RAG according to the survey?,"Naive RAG is the basic retrieve-read framework with three stages: indexing documents into chunks and vectors, retrieving the top relevant chunks for a query, and generating an answer from the query plus the retrieved context.","Naive RAG represents the earliest methodology in the RAG research paradigm, which follows a traditional process that includes indexing, retrieval, and generation, also characterized as a “Retrieve-Read” framework.",final_hybrid_rag,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",definition_explanation,medium,27.1662,ok,,0.0,0.2857142857142857,0.19047619047619047,1.0,1.0,1.0,1.0
What is self-attention in the Transformer paper?,Self-attention is an attention mechanism that relates different positions within the same sequence so the model can build representations using dependencies across positions.,"The Transformer uses multi-head attention in three different ways, including encoder-decoder attention, self-attention layers in the encoder, and self-attention layers in the decoder, which allow each position to attend to all positions in the input sequence or previous layers.",final_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf""]",definition_explanation,medium,31.8504,ok,,0.0,0.22580645161290322,0.16129032258064516,1.0,0.5,1.0,1.0
Why does TabNet argue that tabular data is difficult for standard deep neural networks?,"TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.","TabNet argues that tabular data is difficult for standard deep neural networks because previously-proposed architectures are not well-suited for tabular data, being vastly overparametrized and lacking appropriate inductive bias, which often causes them to fail to find optimal solutions for tabular decision manifolds.",final_hybrid_rag,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf""]",definition_explanation,medium,41.9171,ok,,0.0,0.43373493975903615,0.3373493975903615,1.0,1.0,1.0,1.0
How does the grammar translation method differ from the Reform movement in language teaching priorities?,"Grammar translation emphasized abstract grammar rules, vocabulary, and translation. The Reform movement shifted the focus toward listening, speaking, pronunciation, phonetics, and discovering grammar through more coherent language use.","The grammar translation method differs from the Reform movement in that it prioritizes reading and writing, focusing on learning abstract grammar rules and vocabulary, whereas the Reform movement shifts the priority to listening and speaking.",final_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf""]",intra_paper_comparison,medium,24.0717,ok,,0.0,0.4444444444444445,0.38095238095238093,1.0,1.0,1.0,1.0
How does BERT compare feature-based transfer approaches with fine-tuning approaches?,"Feature-based approaches use pretrained representations as features inside task-specific architectures, while fine-tuning approaches add minimal new parameters and adapt all pretrained parameters directly on the downstream task. BERT is presented as a fine-tuning based model.","BERT compares feature-based transfer approaches with fine-tuning approaches by applying both to the CoNLL-2003 Named Entity Recognition task, demonstrating that BERT is effective for both approaches, with the best performing feature-based method being only 0.3 F1 behind fine-tuning the entire model.",final_hybrid_rag,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",intra_paper_comparison,medium,32.4133,ok,,0.0,0.2631578947368421,0.2631578947368421,1.0,1.0,1.0,1.0
How do plain networks differ from residual networks in the ResNet paper’s framing of the optimization problem?,"Plain networks simply stack layers and become harder to optimize as depth increases, while residual networks reformulate learning as fitting a residual function with shortcut connections, making deeper models easier to optimize.","Plain networks differ from residual networks in that the former may have exponentially low convergence rates, leading to optimization difficulties, whereas the latter, with the addition of shortcut connections, can ease the optimization by providing faster convergence, especially in deeper systems.",final_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",intra_paper_comparison,medium,91.1214,ok,,0.0,0.24657534246575344,0.21917808219178084,1.0,1.0,1.0,1.0
"According to Figure 1 in the Transformer paper, what are the major components of the encoder and decoder?","The encoder uses input embeddings plus positional encoding, multi-head self-attention, add-and-norm, and feed-forward layers. The decoder uses output embeddings shifted right plus positional encoding, masked multi-head self-attention, attention over encoder outputs, add-and-norm, feed-forward layers, and finally a linear layer with softmax.","The major components of the encoder and decoder in the Transformer model architecture, as shown in Figure 1, include multi-head attention, feed forward neural networks, and other elements such as positional encoding and softmax, with the encoder composed of a stack of identical layers, each with a multi-head self-attention mechanism and a position-wise fully connected feed-forward network.",final_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf""]",figure_table_diagram_grounded,medium,22.0349,ok,,0.0,0.36734693877551017,0.2040816326530612,1.0,1.0,1.0,1.0
