question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
Why is Norway’s status as an Expanding Circle country described as increasingly fuzzy?,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.",,supervisor_arch,"[""English.pdf""]",[],direct_fact_lookup,easy,85.9666,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Which two pre-training tasks are used in BERT?,BERT uses masked language modeling and next sentence prediction.,,supervisor_arch,"[""BERT.pdf""]",[],direct_fact_lookup,easy,66.1646,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.",,supervisor_arch,"[""ImgRecog.pdf""]",[],direct_fact_lookup,easy,65.8889,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is Naive RAG according to the survey?,"Naive RAG is the basic retrieve-read framework with three stages: indexing documents into chunks and vectors, retrieving the top relevant chunks for a query, and generating an answer from the query plus the retrieved context.",,supervisor_arch,"[""RAGSurvey.pdf""]",[],definition_explanation,medium,54.1011,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is self-attention in the Transformer paper?,Self-attention is an attention mechanism that relates different positions within the same sequence so the model can build representations using dependencies across positions.,,supervisor_arch,"[""AttentionIsAllYouNeed.pdf""]",[],definition_explanation,medium,60.882,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Why does TabNet argue that tabular data is difficult for standard deep neural networks?,"TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.",,supervisor_arch,"[""TabNet.pdf""]",[],definition_explanation,medium,55.327,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does the grammar translation method differ from the Reform movement in language teaching priorities?,"Grammar translation emphasized abstract grammar rules, vocabulary, and translation. The Reform movement shifted the focus toward listening, speaking, pronunciation, phonetics, and discovering grammar through more coherent language use.",,supervisor_arch,"[""English.pdf""]",[],intra_paper_comparison,medium,53.7518,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does BERT compare feature-based transfer approaches with fine-tuning approaches?,"Feature-based approaches use pretrained representations as features inside task-specific architectures, while fine-tuning approaches add minimal new parameters and adapt all pretrained parameters directly on the downstream task. BERT is presented as a fine-tuning based model.",,supervisor_arch,"[""BERT.pdf""]",[],intra_paper_comparison,medium,55.5528,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How do plain networks differ from residual networks in the ResNet paper’s framing of the optimization problem?,"Plain networks simply stack layers and become harder to optimize as depth increases, while residual networks reformulate learning as fitting a residual function with shortcut connections, making deeper models easier to optimize.",,supervisor_arch,"[""ImgRecog.pdf""]",[],intra_paper_comparison,medium,61.2673,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"According to Figure 1 in the Transformer paper, what are the major components of the encoder and decoder?","The encoder uses input embeddings plus positional encoding, multi-head self-attention, add-and-norm, and feed-forward layers. The decoder uses output embeddings shifted right plus positional encoding, masked multi-head self-attention, attention over encoder outputs, add-and-norm, feed-forward layers, and finally a linear layer with softmax.",,supervisor_arch,"[""AttentionIsAllYouNeed.pdf""]",[],figure_table_diagram_grounded,medium,52.9433,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"According to Figure 1 in the ResNet paper, what happens to training and test error when moving from a 20-layer plain network to a 56-layer plain network on CIFAR-10?",The deeper 56-layer plain network has higher training error and higher test error than the 20-layer plain network.,,supervisor_arch,"[""ImgRecog.pdf""]",[],figure_table_diagram_grounded,easy,62.975,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"According to Figure 2 in the TabNet paper, how does unsupervised pre-training connect to supervised fine-tuning?","The figure shows an encoder-decoder setup used during unsupervised pre-training to reconstruct masked or missing features, and then the pretrained encoder is reused for supervised fine-tuning and decision making.",,supervisor_arch,"[""TabNet.pdf""]",[],figure_table_diagram_grounded,medium,81.9732,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does the English paper connect the global status of English with local curriculum and student language practices in Norway?,"The paper links the global spread of English to local Norwegian ELT by arguing that changing worldwide uses of English influence curriculum priorities, beliefs about language, and how Norwegian learners position themselves and use English in practice.",,supervisor_arch,"[""English.pdf""]",[],multi_chunk_synthesis,hard,46.2788,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Why does the RAG survey argue that Advanced RAG and Modular RAG emerged after Naive RAG?,"The survey says they emerged because Naive RAG has weaknesses in retrieval precision and recall, generation quality, and augmentation coherence, so later paradigms introduced targeted improvements to fix those shortcomings.",,supervisor_arch,"[""RAGSurvey.pdf""]",[],multi_chunk_synthesis,hard,54.154,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Why does TabNet argue that deep learning is still worth exploring for tabular data even though tree-based methods dominate?,"TabNet argues this because end-to-end gradient-based learning can reduce feature engineering, support multimodal and streaming settings, enable representation learning and semi-supervised learning, and still compete with or outperform tabular baselines when designed appropriately.",,supervisor_arch,"[""TabNet.pdf""]",[],multi_chunk_synthesis,hard,55.1373,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Why can making a neural network deeper actually make optimization worse even when overfitting is not the main issue?,"Because deeper plain networks can suffer from the degradation problem: optimization becomes harder, training error can increase with depth, and the solver may fail to find good solutions even though deeper models should in principle be able to represent at least the shallower solution.",,supervisor_arch,"[""ImgRecog.pdf""]",[],paraphrase_hard_retrieval,hard,62.9119,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Which shift in English teaching moved away from abstract grammar translation toward listening, speaking, and pronunciation?",That shift was the Reform movement and its direct-method orientation.,,supervisor_arch,"[""English.pdf""]",[],paraphrase_hard_retrieval,medium,68.7397,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What BERT pre-training setup lets a token use both left and right context instead of only earlier tokens?,BERT’s masked language model objective enables bidirectional context because masked tokens are predicted using both left and right context.,,supervisor_arch,"[""BERT.pdf""]",[],paraphrase_hard_retrieval,medium,59.4318,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How do the Transformer and BERT papers use attention differently in their main contributions?,"The Transformer paper introduces an attention-only encoder-decoder architecture for sequence transduction, while the BERT paper uses Transformer attention inside a bidirectional pretrained language model for general-purpose language representation learning and fine-tuning.",,supervisor_arch,"[""AttentionIsAllYouNeed.pdf"", ""BERT.pdf""]",[],cross_paper_comparison,hard,61.4759,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How do ResNet and TabNet each try to improve optimization or learning efficiency in different data settings?,"ResNet improves optimization in very deep vision networks by learning residual functions with shortcut connections, while TabNet improves efficiency in tabular learning by using sparse sequential attention to focus model capacity on salient features.",,supervisor_arch,"[""ImgRecog.pdf"", ""TabNet.pdf""]",[],cross_paper_comparison,hard,63.4219,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How do the English paper and the RAG survey each connect broad theory to practical application?,"The English paper connects theories of language and English’s global status to curriculum and teaching practice in Norway, while the RAG survey connects high-level RAG paradigms and component design to practical system building, benchmarks, and evaluation.",,supervisor_arch,"[""English.pdf"", ""RAGSurvey.pdf""]",[],cross_paper_comparison,hard,57.0469,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In which paper does attention refer to sequential feature selection over tabular columns rather than sequence transduction over token positions?,"That usage appears in TabNet, where attention selects tabular features at each decision step rather than modeling token-to-token dependencies in a sequence.","TabNet uses sequential attention to choose which features to reason from at each decision step, enabling interpretability and more efficient learning as the learning capacity is used for the most salient features.",supervisor_arch,"[""TabNet.pdf"", ""AttentionIsAllYouNeed.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",distractor_edge_case,hard,13.8938,ok,,0.0,0.25925925925925924,0.25925925925925924,1.0,1.0,0.5,1.0
"Which paper discusses Naive, Advanced, and Modular RAG rather than introducing a new encoder architecture?","The RAG survey discusses Naive, Advanced, and Modular RAG; it is a taxonomy and survey paper rather than a paper proposing a new encoder architecture.",,supervisor_arch,"[""RAGSurvey.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf""]",[],distractor_edge_case,medium,80.0975,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Which paper is about language beliefs and English teaching in Norway rather than neural representation learning?,"That is What is English?, which focuses on language beliefs, English teaching, and the status of English in Norway.",,supervisor_arch,"[""English.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf"", ""TabNet.pdf"", ""ImgRecog.pdf""]",[],distractor_edge_case,easy,68.5563,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
