episode,question_id,final_status,total_reward,num_steps,num_llm_calls,latency_seconds,token_usage,citation_support,verification_pass,buffer_size
1,Q006,accepted,-3.9083000000000006,9,6,141.5013,7783,0.5,1,9
2,Q037,accepted,0.15970000000000006,4,2,21.6423,531,1.0,1,13
3,Q032,accepted,-0.09920000000000001,4,3,29.3627,1847,0.5,1,17
4,Q007,accepted,-0.08329999999999993,4,3,45.2952,2346,1.0,1,21
5,Q035,accepted,-0.3274,4,3,59.8767,3559,0.6667,1,25
6,Q013,accepted,-0.03859999999999997,4,3,47.0317,2202,1.0,1,29
7,Q005,accepted,-0.2116,4,3,66.5936,3575,1.0,1,33
8,Q018,timeout,-6.022,12,7,167.5602,8969,0.0,0,45
9,Q019,accepted,-0.12370000000000003,4,3,58.4543,3263,1.0,1,49
10,Q018,timeout,-5.4655000000000005,12,6,170.2899,8465,0.0,0,61
