episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.760718,-0.193062,0.50639,-0.495623,-0.760718,-0.193062,0.50639,-0.495623,0.11964121460914612,11,0.7531949281692505,0.25218838453292847,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.308539,-0.150008,0.322944,,-0.308539,-0.150008,0.322944,0.0,,,,,,,0.3457302898168564,0.8274988010525703,0.6614720374345779,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.38383,0.484728,-0.393205,0.269215,0.38383,0.484728,-0.393205,0.269215,,,,,,,,,,0.6919149160385132,0.7423641532659531,232,0.6346075385808945,
1,4,verifier,verify_answer,verify_answer,0.5887,1,,0.189231,,,,0.189231,0.0,0.0,0.0,,,,,,,,,,,,,,0.5946156606078148
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.803402,-0.307007,0.1504,-0.277705,-0.803402,-0.307007,0.1504,-0.277705,0.09829896688461304,10,0.5752001404762268,0.3611474335193634,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.058037,0.127064,0.235541,,0.058037,0.127064,0.235541,0.0,,,,,,,0.5290185436606407,0.8690596498548984,0.6177703067660332,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.057681,0.272262,-0.493186,0.322006,0.057681,0.272262,-0.493186,0.322006,,,,,,,,,,0.5288406908512115,0.6361308395862579,222,0.6610027998685837,
2,4,verifier,verify_answer,verify_answer,0.6715,1,,-0.069762,,,,-0.069762,0.0,0.0,0.0,,,,,,,,,,,,,,0.46511876210570335
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.70505,-0.085293,0.231377,-0.156285,-0.70505,-0.085293,0.231377,-0.156285,0.14747506380081177,11,0.6156886965036392,0.42185741662979126,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.15442,0.246136,0.261046,,-0.15442,0.246136,0.261046,0.0,,,,,,,0.42279013246297836,0.8869203656911849,0.6305231004953384,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.295628,0.578425,-0.47935,0.458053,0.295628,0.578425,-0.47935,0.458053,,,,,,,,,,0.6478141993284225,0.7892126441001892,238,0.7290264666080475,
3,4,verifier,verify_answer,verify_answer,0.6335,1,,0.354985,,,,0.354985,0.0,0.0,0.0,,,,,,,,,,,,,,0.6774922609329224
4,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.70972,-0.726611,0.277974,-0.279372,-0.70972,-0.726611,0.277974,-0.279372,0.14514023065567017,7,0.6389869898557663,0.36031387746334076,,,,,,,,,,
4,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.152543,-0.168573,0.194552,,-0.152543,-0.168573,0.194552,0.0,,,,,,,0.42372866719961166,0.8247141003608703,0.5972759202122688,,,,,
4,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.000534,0.588103,-0.549985,0.505387,0.000534,0.588103,-0.549985,0.505387,,,,,,,,,,0.5002671874244697,0.7940512895584106,231,0.7526936531066895,
4,4,verifier,verify_answer,verify_answer,0.6754,1,,0.466794,,,,0.466794,0.0,0.0,0.0,,,,,,,,,,,,,,0.7333971410989761
5,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.366841,-0.072944,0.484707,0.172827,-0.366841,-0.072944,0.484707,0.172827,0.31657925248146057,11,0.7423535287380219,0.5864136517047882,,,,,,,,,,
5,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.094951,0.270272,-0.014793,,-0.094951,0.270272,-0.014793,0.0,,,,,,,0.4525243975222111,0.8905408561229705,0.492603593505919,,,,,
5,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-0.07,0,verifier,0.59598,0.746346,-0.561052,0.26672,0.59598,0.746346,-0.561052,0.26672,,,,,,,,,,0.7979901134967804,0.8731732368469238,208,0.6333598494529724,
5,4,verifier,verify_answer,verify_answer,0.7092,1,,0.158225,,,,0.158225,0.0,0.0,0.0,,,,,,,,,,,,,,0.5791123807430267
6,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.386688,-0.395032,0.377359,-0.361605,-0.386688,-0.395032,0.377359,-0.361605,0.3066559135913849,9,0.688679575920105,0.3191974610090256,,,,,,,,,,
6,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.025727,-0.138058,0.118912,,-0.025727,-0.138058,0.118912,0.0,,,,,,,0.4871364561840892,0.8292913191020488,0.5594559460878372,,,,,
6,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.145285,0.628712,-0.418188,0.324911,0.145285,0.628712,-0.418188,0.324911,,,,,,,,,,0.5726424604654312,0.8143559992313385,234,0.6624555438756943,
