question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
"According to Figure 2 in the ResNet paper, what role does the identity shortcut play in the residual block?","The identity shortcut carries the input directly forward and adds it to the learned residual branch, so the block outputs F(x) + x.","The identity shortcut in Figure 2 plays a role in performing identity mapping, where its output is added to the output of the stacked layers, effectively introducing neither extra parameter nor computational complexity.",simple_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",figure_table_diagram_grounded,medium,6.1212,ok,,0.0,0.21818181818181817,0.21818181818181817,1.0,1.0,1.0,1.0
"According to Figure 1 in the TabNet paper, how does sparse feature selection work during prediction?","The figure shows that TabNet uses multiple decision blocks that each focus on a selected subset of input features, so different steps attend to the most relevant features for the prediction.","TabNet's sparse feature selection works by employing multiple decision blocks that focus on processing a subset of input features, such as professional occupation and investments, to predict income levels, allowing for interpretability and better learning by using capacity for the most salient features.",simple_hybrid_rag,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",figure_table_diagram_grounded,medium,0.7814,ok,,0.0,0.4324324324324324,0.4054054054054055,1.0,1.0,1.0,1.0
"According to Figure 2 in the TabNet paper, how does unsupervised pre-training connect to supervised fine-tuning?","The figure shows an encoder-decoder setup used during unsupervised pre-training to reconstruct masked or missing features, and then the pretrained encoder is reused for supervised fine-tuning and decision making.","Unsupervised representation learning by masked self-supervised learning results in an improved encoder model for the supervised learning task, as shown in Figure 2, indicating that unsupervised pre-training connects to supervised fine-tuning by enhancing the encoder model used in the supervised task.",simple_hybrid_rag,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""BERT.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",figure_table_diagram_grounded,medium,1.3303,ok,,0.0,0.37142857142857144,0.2285714285714286,1.0,0.5,1.0,1.0
"According to Figure 1 in the Transformer paper, how are shifted outputs used on the decoder side?","The outputs are shifted right before entering the decoder so prediction at position i depends only on known earlier outputs, together with masking in decoder self-attention.",The outputs are shifted right before being used as input to the decoder.,simple_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf""]",figure_table_diagram_grounded,medium,1.0248,ok,,0.0,0.4102564102564103,0.4102564102564103,1.0,0.5,1.0,1.0
Why does the English paper predict increased influence from social constructionist perspectives in Norwegian ELT by 2030?,"The paper predicts stronger social constructionist influence because English is increasingly used internationally by second- and later-language users, including Norwegians, and this shifts attention toward language use, speaker agency, and communicative practice rather than only fixed native norms.","The English paper predicts increased influence from social constructionist perspectives in Norwegian ELT by 2030 because trends in applied linguistics are significantly influenced by trends in general linguistic science, and social constructionist perspectives have already influenced applied linguistic science, but not yet ELT practices to the same degree.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",multi_chunk_synthesis,hard,1.023,ok,,0.0,0.23255813953488372,0.186046511627907,1.0,1.0,1.0,1.0
How does the English paper connect the global status of English with local curriculum and student language practices in Norway?,"The paper links the global spread of English to local Norwegian ELT by arguing that changing worldwide uses of English influence curriculum priorities, beliefs about language, and how Norwegian learners position themselves and use English in practice.","The English paper connects the global status of English with local curriculum and student language practices in Norway by acknowledging the development of English as a global language in the national curriculum, while also investigating how Norwegian learners interpret and respond to this development, and what they are doing linguistically with English given the conditions of the Norwegian ELT context.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",multi_chunk_synthesis,hard,0.6143,ok,,0.0,0.4536082474226804,0.3298969072164949,1.0,1.0,1.0,1.0
Why does the Transformer paper claim its model is both more parallelizable and effective at modeling long-range dependencies?,"It claims this because attention removes the sequential recurrence bottleneck, allowing more parallel computation, while self-attention can directly connect distant positions in a sequence without depending on a long chain of recurrent steps.","The Transformer model is more parallelizable and effective at modeling long-range dependencies because it relies entirely on self-attention mechanisms, which allow for a constant number of operations to relate signals from any two input or output positions, making it easier to learn long-range dependencies.",simple_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""RAGSurvey.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf""]",multi_chunk_synthesis,hard,11.9824,ok,,0.0,0.23376623376623376,0.12987012987012989,1.0,0.3333333333333333,1.0,1.0
How does BERT address the limitations of earlier unidirectional language-model pre-training approaches?,"BERT addresses them by using masked language modeling to learn deep bidirectional representations and next sentence prediction to model sentence relationships, which helps on both sentence-level and token-level tasks that need context from both directions.","BERT addresses the limitations of earlier unidirectional language-model pre-training approaches by using a masked language model pre-training objective, which enables the representation to fuse the left and the right context, allowing for pre-training of a deep bidirectional Transformer.",simple_hybrid_rag,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",multi_chunk_synthesis,hard,11.9822,ok,,0.0,0.35616438356164387,0.273972602739726,1.0,1.0,1.0,1.0
Why does the RAG survey argue that Advanced RAG and Modular RAG emerged after Naive RAG?,"The survey says they emerged because Naive RAG has weaknesses in retrieval precision and recall, generation quality, and augmentation coherence, so later paradigms introduced targeted improvements to fix those shortcomings.","The RAG survey argues that Advanced RAG and Modular RAG emerged after Naive RAG because the development of Advanced RAG and Modular RAG was a response to the specific shortcomings in Naive RAG, with Modular RAG inheriting and developing from the previous paradigms, showcasing greater flexibility overall.",simple_hybrid_rag,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",multi_chunk_synthesis,hard,11.9884,ok,,0.0,0.3116883116883116,0.20779220779220778,1.0,1.0,1.0,1.0
Why does the ResNet paper claim that deeper plain networks can have higher training error even though a constructed identity solution should exist?,"The paper argues that although an identity-based constructed solution should in principle let the deeper model do at least as well as the shallower one, existing optimization methods fail to find such good solutions in plain deep networks, revealing an optimization difficulty rather than simple overfitting.","The ResNet paper claims that deeper plain networks can have higher training error because, although a constructed identity solution should exist, the current solvers are unable to find solutions that are comparably good or better than the constructed solution, suggesting that the deep plain nets may have exponentially low convergence rates.",simple_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",multi_chunk_synthesis,hard,15.0443,ok,,0.0,0.3711340206185567,0.24742268041237112,1.0,1.0,1.0,1.0
