episode,question_id,final_status,total_reward,num_steps,num_llm_calls,latency_seconds,token_usage,citation_support,verification_pass,buffer_size,total_updates,critic_loss,actor_loss_retriever,actor_loss_grader,actor_loss_generator,actor_loss_verifier
1,Q014,timeout,-1.4543000000000001,12,8,34.3664,8158,0.0,0,12,0,,,,,
2,Q024,accepted,0.5734,4,3,19.0008,3916,1.0,1,16,0,,,,,
3,Q028,accepted,0.594,4,3,12.619,3887,1.0,1,20,0,,,,,
4,Q002,accepted,0.6637,4,3,10.9365,3687,1.0,1,24,0,,,,,
5,Q006,accepted,0.6208,4,3,11.3522,3660,1.0,1,28,0,,,,,
6,Q018,accepted,0.11159999999999992,10,7,28.3043,8695,1.0,1,38,0,,,,,
7,Q034,accepted,0.5002,4,2,9.9257,1922,1.0,1,42,0,,,,,
8,Q023,accepted,0.5677,4,3,13.8618,4764,1.0,1,46,0,,,,,
9,Q035,timeout,-1.4515000000000002,12,8,27.6262,8611,0.0,0,58,0,,,,,
10,Q007,accepted,0.6098,4,3,17.234,4057,1.0,1,62,0,,,,,
11,Q001,accepted,0.5822999999999999,4,3,18.5611,4144,1.0,1,66,0,,,,,
12,Q028,accepted,0.5904999999999999,4,3,14.0381,4146,1.0,1,70,0,,,,,
13,Q022,accepted,0.6722,4,3,13.1036,3252,1.0,1,74,0,,,,,
14,Q002,accepted,0.6636,4,3,11.2494,3687,1.0,1,78,0,,,,,
15,Q005,accepted,0.7654,4,3,10.9828,3242,1.0,1,82,0,,,,,
16,Q015,accepted,0.06719999999999993,7,5,19.6918,5996,1.0,1,89,0,,,,,
17,Q003,accepted,0.26439999999999997,4,3,11.5924,3546,1.0,1,93,0,,,,,
18,Q020,accepted,0.5666,4,3,18.5549,3931,1.0,1,97,0,,,,,
19,Q006,accepted,0.6206999999999999,4,3,11.7513,3662,1.0,1,101,0,,,,,
20,Q014,timeout,-0.9045000000000001,12,8,25.6716,8342,0.0,0,113,0,,,,,
21,Q038,accepted,0.5381,4,2,11.1725,1645,1.0,1,117,0,,,,,
22,Q025,accepted,0.5992,4,3,25.9871,3994,1.0,1,121,0,,,,,
23,Q004,accepted,0.6909,4,3,13.9486,3945,1.0,1,125,0,,,,,
24,Q011,rejected,-0.8688,10,7,25.176,7040,0.5,0,135,0,,,,,
25,Q030,accepted,0.5614,4,3,10.9676,3818,1.0,1,139,0,,,,,
26,Q013,accepted,0.5502,4,3,13.1872,4435,1.0,1,143,0,,,,,
27,Q001,accepted,0.5796,4,3,19.2929,4155,1.0,1,147,0,,,,,
28,Q037,accepted,0.6041,4,3,12.3687,4541,1.0,1,151,0,,,,,
29,Q006,accepted,0.6205999999999999,4,3,11.8607,3662,1.0,1,155,0,,,,,
30,Q013,accepted,0.5458,4,3,14.5007,3930,1.0,1,159,0,,,,,
31,Q006,accepted,0.6008,4,3,18.4688,3656,1.0,1,163,0,,,,,
32,Q035,timeout,-0.5817000000000001,12,8,34.6102,9123,0.0,0,175,0,,,,,
33,Q024,accepted,0.5533,4,3,17.5122,3861,1.0,1,179,0,,,,,
34,Q024,accepted,0.5823999999999999,4,3,28.549,4282,1.0,1,183,0,,,,,
35,Q021,accepted,0.5373,4,3,13.9449,3463,1.0,1,187,0,,,,,
36,Q038,accepted,0.5466,4,3,14.2313,4952,1.0,1,191,0,,,,,
37,Q007,accepted,0.6121,4,3,11.5724,4327,1.0,1,195,0,,,,,
38,Q001,accepted,0.5769,4,2,10.1354,1448,1.0,1,199,0,,,,,
39,Q004,accepted,0.31279999999999997,10,7,25.0368,8226,1.0,1,209,0,,,,,
40,Q002,accepted,0.6636,4,3,11.2789,3687,1.0,1,213,0,,,,,
41,Q036,accepted,0.5896,4,3,14.4197,3829,1.0,1,217,0,,,,,
42,Q001,accepted,0.5813999999999999,4,3,15.0122,4147,1.0,1,221,0,,,,,
43,Q028,accepted,0.5942,4,2,7.3439,1877,1.0,1,225,0,,,,,
44,Q018,rejected,-0.7245,10,6,20.8883,5194,0.5,0,235,0,,,,,
45,Q011,rejected,-0.873,10,7,29.4199,7971,0.5,0,245,0,,,,,
46,Q033,accepted,0.5610999999999999,4,2,11.0479,1731,1.0,1,249,0,,,,,
47,Q020,accepted,0.5835,4,3,15.6037,3963,1.0,1,253,0,,,,,
48,Q001,accepted,0.5671999999999999,4,3,15.0864,4176,1.0,1,257,0,,,,,
49,Q005,accepted,0.7649,4,3,12.1691,3242,1.0,1,261,0,,,,,
50,Q008,accepted,0.579,4,3,12.5832,3348,1.0,1,265,0,,,,,
51,Q022,accepted,0.6730999999999999,4,3,11.0241,3252,1.0,1,269,0,,,,,
52,Q012,accepted,0.45919999999999994,4,3,13.256,3554,1.0,1,273,0,,,,,
53,Q012,accepted,0.4427,4,3,10.6462,3494,1.0,1,277,0,,,,,
54,Q036,accepted,0.5885,4,3,10.1468,3831,1.0,1,281,0,,,,,
55,Q021,accepted,0.5192,4,3,13.3697,3541,1.0,1,285,0,,,,,
56,Q012,accepted,0.45119999999999993,4,3,16.2426,3846,1.0,1,289,0,,,,,
57,Q002,accepted,0.6641,4,3,10.0065,3687,1.0,1,293,0,,,,,
58,Q038,accepted,0.5397,4,2,7.3689,1655,1.0,1,297,0,,,,,
59,Q027,accepted,0.52,4,3,14.1532,4301,1.0,1,301,0,,,,,
60,Q010,accepted,0.6609999999999999,4,3,13.4397,3821,1.0,1,305,0,,,,,
61,Q032,accepted,0.08799999999999997,10,7,35.6822,8120,1.0,1,315,0,,,,,
62,Q022,accepted,0.6416,4,2,6.1589,1919,1.0,1,319,0,,,,,
63,Q037,accepted,0.5715,4,3,11.1321,4598,1.0,1,323,0,,,,,
64,Q033,accepted,0.5662999999999999,4,2,8.8076,1701,1.0,1,327,0,,,,,
65,Q036,accepted,0.57,4,3,12.6934,3890,1.0,1,331,0,,,,,
66,Q027,accepted,0.509,4,3,13.8057,4522,1.0,1,335,0,,,,,
67,Q008,accepted,0.5984999999999999,4,3,15.5831,3625,1.0,1,339,0,,,,,
68,Q025,accepted,0.604,4,3,15.3192,4030,1.0,1,343,0,,,,,
69,Q028,accepted,0.5982999999999999,4,3,14.3771,3881,1.0,1,347,0,,,,,
70,Q037,accepted,0.6027,4,3,15.8646,4241,1.0,1,351,0,,,,,
71,Q027,accepted,0.5055,4,3,14.3199,4303,1.0,1,355,0,,,,,
72,Q021,accepted,0.5346,4,3,12.8984,3467,1.0,1,359,0,,,,,
73,Q010,accepted,0.619,4,3,14.0087,3819,1.0,1,363,0,,,,,
74,Q020,accepted,0.5751999999999999,4,3,13.6412,3937,1.0,1,367,0,,,,,
75,Q027,accepted,0.5158999999999999,4,3,14.666,4312,1.0,1,371,0,,,,,
76,Q013,accepted,0.5297999999999999,4,3,16.5223,4232,1.0,1,375,0,,,,,
77,Q028,accepted,0.5887,4,3,12.9431,4155,1.0,1,379,0,,,,,
78,Q035,timeout,-1.4525000000000001,12,8,30.0002,8001,0.0,0,391,0,,,,,
79,Q025,accepted,0.5801999999999999,4,2,9.8233,1270,1.0,1,395,0,,,,,
80,Q009,accepted,0.5387,4,3,12.7208,3882,1.0,1,399,0,,,,,
81,Q001,accepted,0.5764,4,3,16.2994,4174,1.0,1,403,0,,,,,
82,Q017,accepted,0.5665,4,3,17.1571,4492,1.0,1,407,0,,,,,
83,Q017,accepted,0.5725,4,2,8.9385,1468,1.0,1,411,0,,,,,
84,Q032,timeout,-1.4624000000000001,12,8,53.7011,8623,0.0,0,423,0,,,,,
85,Q015,accepted,0.26609999999999995,4,3,62.0418,4224,1.0,1,427,0,,,,,
86,Q017,accepted,0.5876,4,3,14.7259,4086,1.0,1,431,0,,,,,
87,Q008,accepted,0.5630999999999999,4,3,19.6009,3790,1.0,1,435,0,,,,,
88,Q023,accepted,0.5771999999999999,4,3,15.4592,5072,1.0,1,439,0,,,,,
89,Q004,accepted,0.6652,4,3,11.4938,3971,1.0,1,443,0,,,,,
90,Q032,rejected,-0.5799000000000001,10,6,27.3873,5010,0.75,0,453,0,,,,,
91,Q005,accepted,0.7658999999999999,4,3,9.9492,3242,1.0,1,457,0,,,,,
92,Q007,accepted,0.6256999999999999,4,3,10.4267,3677,1.0,1,461,0,,,,,
