question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
What are the four main subject areas of the current Norwegian national English curriculum?,"The four main subject areas are Language learning, Oral communication, Written communication, and Culture, society and literature.","The four main subject areas of the Norwegian national English curriculum are Language learning, Oral communication, Written communication, and Culture, society and literature.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,5.0279,ok,,0.0,0.85,0.85,1.0,1.0,1.0,1.0
"How does Kachru's concentric circles model distinguish between the Inner, Outer, and Expanding circles?","The Inner circle refers to native speakers of English as a first language. The Outer circle refers to countries where English became an official second language, often through colonial history. The Expanding circle refers to places where English is mainly used as a foreign or international language.","Kachru's concentric circles model distinguishes between the Inner, Outer, and Expanding circles by representing native English speakers in the innermost circle, second language speakers in the outer circle, and those who learn English as a foreign language in the expanding circle.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""ImgRecog.pdf""]",direct_fact_lookup,easy,0.7313,ok,,0.0,0.4318181818181818,0.34090909090909094,1.0,0.5,1.0,1.0
Why is Norway's status as an Expanding Circle country described as increasingly fuzzy?,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.","Norway's status as an Expanding Circle country is described as increasingly fuzzy because English has developed over the past decades and is no longer limited to traditional foreign language use, but is now used in various domains such as higher education, business, and as a lingua franca, blurring the lines of its original categorization.",simple_hybrid_rag,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,0.6708,ok,,0.0,0.325,0.3,1.0,1.0,1.0,1.0
What BLEU score did the Transformer achieve on the WMT 2014 English-to-German translation task?,The Transformer achieved 28.4 BLEU on WMT 2014 English-to-German.,The Transformer achieved a BLEU score of 28.4 on the WMT 2014 English-to-German translation task.,simple_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf"", ""English.pdf"", ""AttentionIsAllYouNeed.pdf"", ""English.pdf""]",direct_fact_lookup,easy,0.7137,ok,,0.0,0.7499999999999999,0.6666666666666667,1.0,0.3333333333333333,1.0,1.0
What BLEU score did the Transformer achieve on the WMT 2014 English-to-French translation task?,The Transformer achieved 41.8 BLEU on WMT 2014 English-to-French.,The Transformer achieved a BLEU score of 41.8 on the WMT 2014 English-to-French translation task.,simple_hybrid_rag,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""English.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,1.6785,ok,,0.0,0.7499999999999999,0.6666666666666667,1.0,0.3333333333333333,1.0,1.0
What does BERT stand for?,BERT stands for Bidirectional Encoder Representations from Transformers.,BERT stands for Bidirectional Encoder Representations from Transformers.,simple_hybrid_rag,"[""BERT.pdf""]","[""BERT.pdf"", ""RAGSurvey.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""RAGSurvey.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,2.5228,ok,,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Which two pre-training tasks are used in BERT?,BERT uses masked language modeling and next sentence prediction.,The two pre-training tasks used in BERT are Masked LM and Next Sentence Prediction.,simple_hybrid_rag,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,12.0798,ok,,0.0,0.5217391304347826,0.5217391304347826,1.0,1.0,1.0,1.0
"According to the RAG survey, what are the three main RAG paradigms?","The three main paradigms are Naive RAG, Advanced RAG, and Modular RAG.","The three main RAG paradigms are Naive RAG, Advanced RAG, and Modular RAG.",simple_hybrid_rag,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",direct_fact_lookup,easy,11.1561,ok,,0.0,0.9600000000000001,0.9600000000000001,1.0,1.0,1.0,1.0
"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.","The deepest residual network reported is 152 layers, which is 8 times deeper than VGG nets, yet still has lower complexity.",simple_hybrid_rag,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",direct_fact_lookup,easy,12.8105,ok,,0.0,0.7619047619047619,0.7619047619047619,1.0,1.0,1.0,1.0
What core mechanism does TabNet use to choose which features to reason from at each decision step?,"TabNet uses sequential attention with sparse, instance-wise feature selection at each decision step.",TabNet uses sequential attention to choose which features to reason from at each decision step.,simple_hybrid_rag,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",direct_fact_lookup,easy,9.7242,ok,,0.0,0.5714285714285715,0.5714285714285715,1.0,1.0,1.0,1.0
