episode_id,question_id,query_type,total_reward,answer_quality,citation_support_rate,verification_pass,final_status,num_steps,num_llm_calls,latency_seconds,token_usage,has_gen,ans_len,ev_count,ver_dec
episode_0001_Q039,Q039,conceptual,-0.0457,1.0,1.0,True,accepted,4,2,36.3761,4184,True,389,8,PASS
episode_0002_Q044,Q044,multi_hop,0.3764,1.0,1.0,True,accepted,4,3,15.0879,4296,True,558,3,PASS
episode_0003_Q033,Q033,conceptual,-2.0077,0.0,0.0,False,rejected,10,7,51.2963,4365,True,121,3,FAIL
episode_0004_Q020,Q020,conceptual,-5.0211,0.0,0.0,False,timeout,12,6,118.4677,16910,False,0,3,N/A
episode_0005_Q056,Q056,multi_hop,-1.6023,0.7273,0.7273,True,accepted,7,4,85.0776,9298,True,834,8,PASS
episode_0006_Q001,Q001,factual,0.363,1.0,1.0,True,accepted,4,3,24.936,4128,True,191,3,PASS
episode_0007_Q006,Q006,definition,0.2219,1.0,1.0,True,accepted,4,2,41.8245,2858,True,76,8,PASS
episode_0008_Q014,Q014,factual,-0.8716,1.0,1.0,True,accepted,7,4,60.5528,7144,True,355,8,PASS
episode_0009_Q054,Q054,multi_hop,-3.8738,0.0,0.0,False,timeout,12,7,119.801,9719,True,1159,8,N/A
episode_0010_Q040,Q040,conceptual,0.4547,1.0,1.0,True,accepted,4,3,10.2091,4118,True,485,3,PASS
