question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
Why is Norway’s status as an Expanding Circle country described as increasingly fuzzy?,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.","Norway's status as an Expanding Circle country is described as increasingly fuzzy because English has developed over the past decades, and its use and influence have become more widespread and complex, blurring the traditional distinctions between native and non-native speakers.",supervisor_arch,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,12.5514,ok,,0.0,0.27272727272727276,0.27272727272727276,1.0,1.0,1.0,1.0
Which two pre-training tasks are used in BERT?,BERT uses masked language modeling and next sentence prediction.,BERT pre-trains using two unsupervised tasks: Masked LM and Next Sentence Prediction (NSP).,supervisor_arch,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,76.9236,ok,,0.0,0.5454545454545455,0.5454545454545455,1.0,1.0,1.0,1.0
"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.","The deepest residual network reported in the ResNet paper is a 152-layer network, which is 8 times deeper than VGG nets.",supervisor_arch,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",direct_fact_lookup,easy,86.501,ok,,0.0,0.8095238095238095,0.6666666666666666,1.0,1.0,1.0,1.0
What is Naive RAG according to the survey?,"Naive RAG is the basic retrieve-read framework with three stages: indexing documents into chunks and vectors, retrieving the top relevant chunks for a query, and generating an answer from the query plus the retrieved context.","The Naive RAG research paradigm represents the earliest methodology, which gained prominence shortly after the introduction of RAG, mainly consisting of three parts: indexing, retrieval, and generation.",supervisor_arch,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",definition_explanation,medium,61.8494,ok,,0.0,0.25806451612903225,0.1935483870967742,1.0,1.0,1.0,1.0
What is self-attention in the Transformer paper?,Self-attention is an attention mechanism that relates different positions within the same sequence so the model can build representations using dependencies across positions.,Self-attention is an attention mechanism relating different positions of a single sequence in order to compute a representation of the sequence.,supervisor_arch,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf""]",definition_explanation,medium,63.1622,ok,,0.0,0.4090909090909091,0.4090909090909091,1.0,0.5,1.0,1.0
Why does TabNet argue that tabular data is difficult for standard deep neural networks?,"TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.","TabNet argues that tabular data is difficult for standard deep neural networks because previously-proposed DNN architectures are not well-suited for tabular data: they are vastly overparametrized, and the lack of appropriate inductive bias often causes them to fail to find optimal solutions for tabular decision manifolds.",supervisor_arch,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",definition_explanation,medium,74.8997,ok,,0.0,0.5116279069767442,0.37209302325581395,1.0,1.0,1.0,1.0
How does the grammar translation method differ from the Reform movement in language teaching priorities?,"Grammar translation emphasized abstract grammar rules, vocabulary, and translation. The Reform movement shifted the focus toward listening, speaking, pronunciation, phonetics, and discovering grammar through more coherent language use.","The grammar translation method prioritizes learning abstract grammar rules and vocabulary, with a focus on translating to and from the target language, whereas the Reform movement shifts the priority from reading and writing to listening and speaking, introducing the science of phonetics and the founding of the International Phonetics Association.",supervisor_arch,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf""]",intra_paper_comparison,medium,67.1648,ok,,0.0,0.43589743589743596,0.38461538461538464,1.0,1.0,1.0,1.0
How does BERT compare feature-based transfer approaches with fine-tuning approaches?,"Feature-based approaches use pretrained representations as features inside task-specific architectures, while fine-tuning approaches add minimal new parameters and adapt all pretrained parameters directly on the downstream task. BERT is presented as a fine-tuning based model.","BERT is effective for both fine-tuning and feature-based approaches, as demonstrated by its competitive performance with state-of-the-art methods in the CoNLL-2003 Named Entity Recognition task using the feature-based approach, which is only 0.3 F1 behind fine-tuning the entire model.",supervisor_arch,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",intra_paper_comparison,medium,79.3464,ok,,0.0,0.29729729729729726,0.2162162162162162,1.0,1.0,1.0,1.0
How do plain networks differ from residual networks in the ResNet paper’s framing of the optimization problem?,"Plain networks simply stack layers and become harder to optimize as depth increases, while residual networks reformulate learning as fitting a residual function with shortcut connections, making deeper models easier to optimize.","Plain networks differ from residual networks in that residual networks have shortcut connections that perform identity mapping, adding neither extra parameter nor computational complexity, whereas plain networks do not have these shortcut connections.",supervisor_arch,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",intra_paper_comparison,medium,94.2357,ok,,0.0,0.21538461538461537,0.21538461538461537,1.0,1.0,1.0,1.0
"According to Figure 1 in the Transformer paper, what are the major components of the encoder and decoder?","The encoder uses input embeddings plus positional encoding, multi-head self-attention, add-and-norm, and feed-forward layers. The decoder uses output embeddings shifted right plus positional encoding, masked multi-head self-attention, attention over encoder outputs, add-and-norm, feed-forward layers, and finally a linear layer with softmax.","The major components of the encoder include Multi-Head Attention, Positional Encoding, Add & Norm, and Feed Forward, while the major components of the decoder include Multi-Head Attention, Positional Encoding, Add & Norm, Feed Forward, and Masked Multi-Head Attention.",supervisor_arch,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf""]",figure_table_diagram_grounded,medium,60.7932,ok,,0.0,0.36363636363636365,0.3116883116883117,1.0,1.0,1.0,1.0
